GISJOIN,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,N_perc_area_flood
G24000504024042,0.147391852,0.79112037,0.620736719,0.35595619,-47493.90369,0.003429571
G24000504024043,0.144261583,0.680036402,0.879965388,0.298274031,-29447.66834,0.0
G24000504024051,0.146135401,0.566854401,0.78127933,0.240726543,-26455.83011,0.0
G24000504024052,0.199088907,0.699888053,0.768606073,0.320551151,-50408.56951,0.0
G24000504024062,0.171625713,0.869619339,0.552819534,0.355802995,-25008.72337,0.0
G24000504024063,0.179417473,0.843481928,0.582771721,0.400188993,-58482.00374,0.0
G24000504024071,0.131026861,0.769951348,0.613687445,0.297286484,-21910.92037,0.0
G24000504024072,0.268920577,0.580131403,0.771830061,0.265317327,-14214.72343,0.0
G24000504025031,0.290098617,0.605081755,0.756563132,0.390691778,-55712.91558,0.0
G24000504025032,0.388756629,0.77241625,0.666127736,0.443173156,-76547.55112,0.0
G24000504025041,0.224416368,0.854228001,0.579041544,0.422545311,-48467.95132,0.0
G24000504025042,0.505154626,0.816710268,0.619136202,0.551519318,-49353.48141,0.004608246
G24000504025051,0.250206604,0.843487267,0.575427735,0.43674592,-38141.61105,0.0
G24000504025052,0.217769064,0.802303536,0.647517329,0.436140286,-56493.39523,0.0
G24000504025061,0.210333233,0.718543438,0.808952328,0.414213028,-56869.07743,0.0
G24000504025062,0.182151656,0.754288219,0.78257749,0.342485933,-41718.72558,0.0
G24000504025091,0.408407673,0.904007469,0.506673235,0.488332091,-14130.01036,0.0
G24000504025092,0.254248704,0.891503804,0.553258586,0.588534349,-18942.44143,0.0
G24000504025093,0.161958188,0.887762234,0.554407208,0.39299199,-4584.116365,0.0
G24000504026021,0.156784399,0.643371141,0.828239914,0.175813808,-27836.97632,0.0
G24000504026022,0.187456998,0.690244324,0.846956494,0.315046315,-38225.31834,0.0
G24000504026031,0.226629999,0.736125943,0.798167321,0.453435675,-52151.19863,0.0
G24000504026032,0.241942776,0.872084139,0.505460699,0.54073254,-53778.71641,0.0
G24000504026033,0.323641782,0.828652584,0.562320448,0.462845106,-64513.94656,0.0
G24000504026041,0.278317252,0.728477596,0.704907215,0.41676134,-60961.3158,0.00554254
G24000504026042,0.220779902,0.711015664,0.806407764,0.396763768,-59234.12961,0.007935228
G24000504026043,0.22044905,0.67611588,0.79348552,0.288539474,-27851.03177,0.0
G24000504031001,0.242230272,0.61217256,0.829955467,0.340147927,-39619.80883,0.011963647
G24000504031002,0.230543848,0.65059494,0.776340196,0.283217554,-40458.33704,0.003179327
G24000504032011,0.148373096,0.703304308,0.714765338,0.223090835,-26968.09452,0.0
G24000504032012,0.165245409,0.650130739,0.789681696,0.149179168,-35939.02108,0.018409399
G24000504032021,0.194203632,0.620655686,0.697627111,0.238929392,-14757.15769,0.0
G24000504033001,0.2128342,0.557528461,0.757939913,0.226890247,-6991.285676,0.0
G24000504033002,0.178349628,0.610386936,0.746578935,0.201985182,-13406.37801,0.067442158
G24000504034011,0.223857871,0.589351547,0.707277582,0.307159154,-13142.29202,0.003816715
G24000504034012,0.24482544,0.853181984,0.561769956,0.414133795,-43815.39508,0.02172697
G24000504034021,0.26254279,0.640680616,0.663989805,0.285162128,-59403.44591,0.0
G24000504034022,0.166282429,0.564001315,0.717759786,0.202851827,-5211.168817,0.0
G24000504034023,0.085576898,0.671783267,0.552159943,0.018276388,30200.94592,0.0
G24000504034024,0.161592,0.614128896,0.573026825,0.153901564,877.6140289,0.0
G24000504035001,0.38705863,0.688893189,0.648944976,0.444068492,14934.77335,0.001286443
G24000504035002,0.359758012,0.661149254,0.730732971,0.528366433,9246.084165,0.0
G24000504035003,0.464162374,0.639054165,0.800754703,0.559093426,-19179.27803,0.020609826
G24000504036011,0.238821675,0.650554474,0.874944134,0.174124133,21785.62781,0.0
G24000504036012,0.307356438,0.827638613,0.609373649,0.513916317,57095.71254,0.0
G24000504036013,0.455364725,0.813120199,0.655236323,0.559911172,38332.30461,0.002080244
G24000504036021,0.196588764,0.804265593,0.563232025,0.460593115,10001.94729,0.0
G24000504036022,0.420670154,0.839337444,0.568907469,0.64050732,-4713.441601,0.0
G24000504037011,0.393299097,0.850179915,0.549555159,0.52937603,-34662.53777,0.0
G24000504037012,0.56503298,0.840724937,0.622080677,0.681409581,-5633.281363,0.0
G24000504037013,0.637272798,0.542464122,0.580670017,0.641999664,10461.62778,0.0
G24000504037014,0.900779558,0.691496293,0.718064101,0.953666179,7352.451706,0.0
G24000504037015,0.243110066,0.783435188,0.537647433,0.418363897,-36647.83602,0.0
G24000504037021,0.468607306,0.78720389,0.779063033,0.491678559,3909.028011,0.0
G24000504037022,0.181422473,0.835344691,0.558698748,0.465443768,-15252.47062,0.065192655
G24000504038011,0.85919958,0.763742686,0.68481098,0.855912392,12604.41707,0.00683152
G24000504038021,0.865206344,0.745573066,0.773215179,0.867122848,-29933.29292,0.001911548
G24000504038022,0.830591628,0.739595012,0.751746055,0.862407013,-10451.93613,0.0
G24000504038031,0.658820001,0.756137546,0.737337506,0.717488914,-58684.94598,0.012311995
G24000504038032,0.444349052,0.778528863,0.640614066,0.677289708,21200.46835,0.05182465
G24000504041011,0.490647195,0.8486166,0.606947906,0.506116072,4361.002273,0.0
G24000504041012,0.170626242,0.892494022,0.552855781,0.455491691,7763.356845,0.001834856
G24000504041021,0.241219314,0.807805079,0.625936161,0.417881204,-16035.75179,0.0
G24000504041022,0.103845277,0.723757434,0.803236939,0.157719107,4297.614046,0.129650878
G24000504042011,0.229834402,0.575045216,0.704105677,0.387655783,-21819.5809,0.0
G24000504042012,0.151446178,0.819933914,0.688644629,0.367040522,-35926.66799,0.0
G24000504042013,0.413083206,0.868623201,0.559529445,0.465039922,-11256.15855,0.0
G24000504042021,0.315695391,0.859665127,0.611065404,0.469195079,-25384.49351,0.0
G24000504042024,0.232626226,0.688252376,0.84465548,0.171341137,-19972.13637,0.062429895
G24000504044021,0.369538234,0.699934695,0.628060934,0.471959936,3360.466109,0.020466997
G24000504044022,0.272860789,0.830546356,0.552483263,0.245634114,-15726.23367,0.0
G24000504044023,0.426677759,0.827798887,0.575534452,0.558329835,-2104.156638,0.0
G24000504044031,0.274492819,0.844256629,0.629045338,0.416120273,-8888.845467,0.0
G24000504044032,0.331673126,0.819471378,0.650983261,0.449304432,-12864.02055,0.0
G24000504044041,0.258736304,0.866722206,0.580835976,0.444893218,8693.72335,0.0
G24000504044042,0.256943445,0.784532631,0.634772125,0.379820872,-14426.18557,0.0
G24000504045011,0.175757294,0.706420666,0.807533535,0.263999519,32352.40706,0.0
G24000504045012,0.089284368,0.66811281,0.990171911,0.164540307,7434.19825,0.0
G24000504045013,0.229161395,0.800403341,0.656275583,0.424723164,-1539.081404,0.0
G24000504045014,0.153101202,0.838725519,0.558917637,0.40385253,-32235.96076,0.0
G24000504045021,0.098113725,0.742915782,0.705270716,0.203180492,-11919.16652,0.0
G24000504045022,0.080329515,0.706462394,1.0,0.19159442,-9141.44022,0.0
G24000504045023,0.067145199,0.766716623,0.690332495,0.158754087,-35507.87878,0.0
G24000504046001,0.519876686,0.772347743,0.721551422,0.525598821,-95096.27668,0.0
G24000504046002,0.447620229,0.678352707,0.714958943,0.491155613,-17345.32414,0.007573746
G24000504048001,0.607646657,0.817974157,0.667472341,0.615546653,-37875.40971,0.0
G24000504048002,0.643036154,0.827793654,0.678261335,0.62719579,16717.1392,0.0
G24000504049001,0.634068409,0.848711462,0.572358167,0.670388552,18599.54648,0.0
G24000504049002,0.906790731,0.823643109,0.640021482,0.941567127,-56730.58028,0.0
G24000504049003,0.949971639,0.87180139,0.616444676,0.908129735,-47456.32934,0.0
G24000504050001,0.390744278,0.724012772,0.749156315,0.412202022,3573.080642,0.004566007
G24000504050002,0.445249269,0.658051206,0.731374201,0.404033633,9380.458577,0.008656118
G24000504060001,0.488631446,0.801869415,0.699225519,0.500001819,-36997.79717,0.0
G24000504060002,0.380239637,0.74126485,0.761904642,0.401478489,-22366.91365,0.00444016
G24000504060003,0.490069534,0.801665316,0.672930864,0.489745518,3185.335372,0.007870072
G24000504060004,0.592437724,0.852771855,0.600612735,0.590912042,17558.58617,0.003782344
G24000504070011,0.473767859,0.789433551,0.720899415,0.493943655,9248.761468,0.0
G24000504070012,0.531398243,0.786633212,0.654714417,0.531442498,-34640.59315,0.002870116
G24000504070021,0.541328641,0.807614108,0.648949731,0.511434793,-21463.7595,0.007360718
G24000504070022,0.498702707,0.7836163,0.699771305,0.505594005,-34919.42075,0.043997742
