GISJOIN,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,N_perc_area_flood
G24000504307001,0.19838959,0.535362994,0.678855219,0.279926641,17145.8913,0.552965053
G24000504307002,0.148896787,0.7182214,0.580131088,0.173981871,68642.84009,0.004389617
G24000504307003,0.089551761,0.621025682,0.621921603,0.134223355,66198.92958,0.0
G24000504308001,0.160331364,0.565058726,0.667710184,0.258351657,19264.30689,0.097372306
G24000504308002,0.10379288,0.662628825,0.552159943,0.058514928,86045.30627,0.0
G24000504308003,0.139556566,0.598380227,0.649734985,0.189644684,36746.95499,0.018677251
G24000504309001,0.202541414,0.533401207,0.667107738,0.284285231,-7556.344968,0.001642432
G24000504309002,0.126610904,0.631072969,0.57978644,0.305683917,-456.2834924,0.0
G24000504309003,0.098897707,0.638479872,0.571978952,0.089468271,57289.96327,0.0
G24000504401001,0.186556715,0.607199205,0.776186934,0.203572881,-6923.932141,0.0
G24000504401002,0.154922509,0.622562358,0.784615094,0.1960347,19923.59183,0.0
G24000504401003,0.164179779,0.575015149,0.724638884,0.211650125,14220.53647,0.0
G24000504401004,0.161454145,0.544823266,0.741187671,0.194797813,21091.01524,0.0
G24000504402001,0.183909654,0.507226089,0.678379415,0.228097377,27675.61278,0.0
G24000504402002,0.180708484,0.669323292,0.724091793,0.28390462,-11583.4778,0.0
G24000504403001,0.142935945,0.804623879,0.590960371,0.215312465,15681.01611,0.009032381
G24000504404001,0.18738912,0.542181923,0.599131458,0.223031856,4593.34769,0.0
G24000504404002,0.155956333,0.609754497,0.78295876,0.21575657,-12549.97963,0.0
G24000504404003,0.111166948,0.645903264,0.779006768,0.140665009,-929.1415701,0.031251751
G24000504404004,0.118606214,0.497640326,0.775349769,0.209849034,6890.676731,0.0
G24000504405001,0.168831747,0.657832629,0.661529892,0.191170986,15849.84546,0.021488107
G24000504405002,0.141955695,0.562905923,0.666218945,0.153788544,36248.56673,0.0
G24000504406001,0.392284918,0.860600596,0.608288306,0.442346859,-1694.426408,0.379324318
G24000504407011,0.170902411,0.891285939,0.56429354,0.425856424,-44045.56213,0.06455763
G24000504407012,0.225105415,0.76895494,0.580868584,0.167595111,20314.32031,0.0
G24000504407013,0.185118948,0.810665179,0.568341177,0.182808918,-20587.30545,0.0
G24000504407021,0.171339105,0.844422678,0.495455663,0.282611998,26448.38755,0.0
G24000504407022,0.147328394,0.868868057,0.553661653,0.345346614,-12490.12999,0.288765306
G24000504408001,0.424624858,0.880257375,0.605853617,0.476309889,54445.15779,0.00072626
G24000504409001,0.157762511,0.733568934,0.709052077,0.21678031,-1971.99056,0.0
G24000504409002,0.210813247,0.816651411,0.622589055,0.341023773,-13853.87259,0.0
G24000504410001,0.12027842,0.686560282,0.615618443,0.07641135,-7894.822233,0.0
G24000504411011,0.194534314,0.622286228,0.775819667,0.23443411,-6077.255766,0.039545594
G24000504411012,0.156873443,0.645789312,0.870213343,0.177323226,-1676.844174,0.0
G24000504411021,0.146556544,0.707550627,0.84255816,0.216696441,-11430.66029,0.052942868
G24000504411022,0.143451241,0.679369656,0.739077314,0.176148129,22791.95015,0.075670522
G24000504411023,0.145622993,0.604432316,0.82190762,0.226715225,-13531.19576,0.007752527
G24000504411024,0.149976452,0.694877147,0.793899969,0.262257447,-35014.35158,0.0
G24000504501001,0.127397485,0.617266089,0.724406516,0.159572084,140.6969824,0.008385
G24000504501002,0.140075642,0.571465475,0.817253118,0.165358793,-10488.7656,0.214123814
G24000504501003,0.159443182,0.656527841,0.85442793,0.218035329,-30255.71245,0.015005125
G24000504502001,0.142672133,0.604298245,0.803769007,0.163207608,-8467.886929,0.047911492
G24000504502002,0.161005061,0.565364127,0.789794801,0.183983888,-7103.193978,0.0
G24000504502003,0.080172333,0.58779159,0.631618793,0.155914864,4191.362424,0.0
G24000504503001,0.165760791,0.717797804,0.687529239,0.235806261,-21340.80856,0.0
G24000504503002,0.153172101,0.55456763,0.815988117,0.194738914,-6529.727674,0.0
G24000504504001,0.135554569,0.69577132,0.751136499,0.269393186,-31220.04726,0.0
G24000504504002,0.126676106,0.562585436,0.814348344,0.169327716,-8720.562779,0.0
G24000504505011,0.151343399,0.608806025,0.798268376,0.19862693,-16263.32281,0.0
G24000504505012,0.096698044,0.608601188,0.895912499,0.129154606,-12091.98143,0.0
G24000504505013,0.107070042,0.633380949,0.895961207,0.177365089,-12132.18943,0.0
G24000504505031,0.087129148,0.703868595,0.562289658,0.051874733,6694.090732,0.0320361
G24000504505032,0.099283507,0.684636132,0.552159943,0.063899264,4567.166734,0.0
G24000504505033,0.098732857,0.679594621,0.552159943,0.102879449,-7049.873694,0.0
G24000504505041,0.066054747,0.648288343,0.552159943,0.071285825,14811.14175,0.0
G24000504505042,0.082676678,0.638726078,0.552159943,0.068370306,17662.50423,0.0
G24000504508001,0.355870862,0.944135546,0.475456027,0.589871928,90588.64289,0.0
G24000504508002,0.114024256,0.735872052,0.650833136,0.104167004,-11811.28726,0.0
G24000504508003,0.118304705,0.695690688,0.817585414,0.232735311,-12769.28113,0.0
G24000504509001,0.234394361,0.712616516,0.829983284,0.262867875,-31861.72689,0.0
G24000504509002,0.213497334,0.820023413,0.658509481,0.335729799,-31488.51425,0.0
G24000504510001,0.317046905,0.744404679,0.785246766,0.333152443,-62581.61354,0.0
G24000504510002,0.304807638,0.693697238,0.775691053,0.279522683,-9815.493455,0.0
G24000504511001,0.331127379,0.832574038,0.688366575,0.39814092,-11687.29946,0.0
G24000504512001,0.16032861,0.697184246,0.767405022,0.201008919,-5062.25555,0.081344022
G24000504512002,0.053428908,0.585489559,0.989186359,0.073425437,-14722.64802,0.039798721
G24000504513001,0.07225121,0.592693148,0.951853605,0.094805996,-19706.17907,0.0
G24000504513002,0.101473734,0.599677997,0.947592085,0.133827366,-35724.33904,0.0
G24000504514011,0.147223246,0.741509952,0.42720679,0.164203403,-5904.142918,0.0
G24000504514012,0.343422749,0.945488939,0.290974625,0.52267032,60681.31109,0.0
G24000504514021,0.077971289,0.674095187,0.600677514,0.065549187,2694.357816,0.003656976
G24000504514023,0.115117157,0.807147909,0.572354578,0.112449631,-11618.09839,0.0
G24000504515001,0.076822559,0.632172386,0.552399674,0.049526409,17587.59975,0.0
G24000504515002,0.084440626,0.719160155,0.552159943,0.038100465,10530.13358,0.0
G24000504515003,0.117833275,0.658249608,0.581397314,0.113784248,-3852.563563,0.0
G24000504516001,0.342100597,0.726085436,0.706366774,0.371716809,74528.12975,0.0
G24000504516002,0.138254377,0.639357686,0.949917501,0.118108657,-29668.48439,0.0
G24000504517011,0.379501484,0.867356076,0.554133264,0.451648249,59818.76892,0.002253538
G24000504517012,0.276648447,0.879933144,0.470212107,0.400952806,-26734.2221,0.000633104
G24000504517021,0.259944267,0.775595835,0.707917935,0.323508146,-25046.79181,0.014867565
G24000504517022,0.258868633,0.719208558,0.835796588,0.274241064,-18042.48049,0.0
G24000504518011,0.264504714,0.779047743,0.783436729,0.328474301,-41161.77684,0.0
G24000504518012,0.2652171,0.758731734,0.695160677,0.266849871,-35345.41385,0.010243327
G24000504518013,0.22580404,0.797024373,0.61054957,0.214763158,-8440.353992,0.011888238
G24000504518014,0.143302684,0.860013791,0.5764793,0.404185089,-64048.30174,0.0
G24000504518021,0.349309216,0.846463829,0.669109429,0.37699882,-17159.86502,0.0
G24000504518022,0.386442647,0.823136651,0.742886251,0.396763768,22799.82693,0.0
G24000504518023,0.266439521,0.728982479,0.687825777,0.214604066,-4336.016807,0.0
G24000504518031,0.185658225,0.851980506,0.401732046,0.27950387,-1625.967043,0.0
G24000504518032,0.20199149,0.836844551,0.684989335,0.332104727,-32147.86769,0.0
G24000504519001,0.245027917,0.732284115,0.732944357,0.247913269,-26825.88797,0.0
G24000504519002,0.313729358,0.826144326,0.691701943,0.348881789,-47245.21979,0.009538893
G24000504519003,0.18778806,0.649197644,0.754638486,0.21241815,-18910.32812,0.0
G24000504520001,0.1893261,0.65621827,0.832359106,0.200812795,-3507.805523,0.0
G24000504520002,0.169272945,0.620878517,0.764956628,0.173751514,-20189.14363,0.002034577
G24000504521001,0.232471515,0.709509402,0.766204626,0.278743146,-29217.4868,0.0
G24000504521002,0.247069308,0.688225712,0.795312945,0.265631065,-39964.69147,0.0
G24000504521003,0.184739428,0.602348135,0.779707492,0.194675483,-27606.07208,0.0
G24000504523001,0.058063286,0.637531677,0.552159943,0.011516286,16078.09029,0.0
G24000504523002,0.061294057,0.596073817,0.563432434,0.028118398,22512.93232,0.009675745
G24000504524001,0.074117326,0.598353226,0.643285438,0.04731634,19762.53111,0.312789208
G24000504524002,0.27233022,0.844137616,0.645963176,0.379490003,-21287.16629,0.0
G24000504525001,0.148594019,0.627754093,0.690883035,0.13429986,-2236.795988,0.0
G24000504525002,0.090587252,0.649331995,0.542800816,0.073404175,9574.122121,0.0
G24000504525003,0.16890236,0.69754718,0.795613611,0.194030735,-32094.16884,0.0
G24000504901001,0.441430149,0.749693979,0.706093454,0.48630894,82270.85442,0.0
G24000504901002,0.54872863,0.68046087,0.809762399,0.568694943,38343.66084,0.0
G24000504901003,0.442811236,0.661136535,0.854928658,0.52804438,79801.32452,0.0
G24000504902001,0.37802616,0.687486745,0.600294325,0.340424719,40108.77265,0.0
G24000504902002,0.254148148,0.631459288,0.656269003,0.281856392,66782.30119,0.0
G24000504902003,0.246091612,0.6479464,0.685820282,0.283507953,49436.56049,0.0
G24000504903011,0.133209315,0.629872842,0.559009955,0.143830543,57004.65857,0.0
G24000504903012,0.261365577,0.633742351,0.685826491,0.275963124,45457.39335,0.018069819
G24000504903013,0.154968915,0.678530894,0.55836181,0.17990698,87285.35152,0.025340251
G24000504903021,0.297738321,0.677977761,0.635984109,0.41168536,54370.63992,0.0
G24000504903022,0.30560774,0.638072079,0.588836499,0.469627648,39368.35151,0.0
G24000504904001,0.632220854,0.634107846,0.654863126,0.688139744,91269.48246,0.02008067
G24000504904002,0.688208987,0.596356671,0.690980796,0.760235916,176372.403,0.044436304
G24000504905001,0.626244761,0.672763515,0.65877026,0.679212131,113862.8492,0.003183597
G24000504905002,0.682008223,0.603323289,0.650837909,0.798724014,209007.0261,0.005339691
G24000504905003,0.646285017,0.633918971,0.615258815,0.680779735,113397.8501,0.086123906
G24000504906011,0.162229209,0.553394286,0.552159943,0.256160128,140472.0509,0.0
G24000504906012,0.189245503,0.571913156,0.537676381,0.193262652,140702.6734,0.0
G24000504906021,0.159453657,0.61802876,0.558000406,0.14535717,134260.323,0.0
G24000504906022,0.160799992,0.612364516,0.51174765,0.227971858,137773.2582,0.030143091
G24000504906031,0.181141866,0.634455581,0.557593841,0.124767876,123965.5373,0.071263142
G24000504906032,0.486345908,0.712545817,0.565907414,0.595925041,119776.675,0.004509403
G24000504907011,0.368994211,0.633637905,0.77663037,0.424941596,73964.62853,0.0
G24000504907031,0.346779791,0.557353942,0.600999643,0.434207706,76689.82174,0.0
G24000504907032,0.339187581,0.594190865,0.599767831,0.378324289,107882.6039,0.0
G24000504908001,0.230571143,0.624342351,0.813203373,0.293316024,69141.88911,0.0
G24000504908002,0.26290427,0.559835096,0.591049732,0.324772508,95718.05263,0.049974521
G24000504909001,0.160989149,0.599872045,0.642765339,0.266758124,39941.04695,0.0
G24000504909002,0.184666459,0.692287592,0.610899348,0.400604835,65777.38468,0.0
G24000504910001,0.310928506,0.661130427,0.616827324,0.359789685,73191.84189,0.0
G24000504910002,0.355996265,0.556874072,0.518869634,0.405112754,196636.6505,0.0
G24000504911001,0.143992166,0.574899236,0.744473935,0.2081749,45139.84368,0.003178705
G24000504911002,0.202954578,0.549906644,0.689337733,0.253947414,61573.53754,0.0
G24000504911003,0.203046642,0.513590287,0.695101845,0.300619387,95315.24584,0.0
G24000504912011,0.168833039,0.63499584,0.581115486,0.228537924,33415.86803,0.0
G24000504912012,0.15236684,0.653455083,0.554066305,0.107998828,68017.60329,0.0
G24000504912021,0.105579763,0.613742272,0.553518145,0.075342042,86119.50089,0.0
G24000504912022,0.148346025,0.62722675,0.55487326,0.132632201,59207.28697,0.0
G24000504913001,0.210745965,0.627937204,0.800978312,0.257371996,14159.33509,0.007304053
G24000504913002,0.212232577,0.664715379,0.751356362,0.197495144,-16405.44669,0.0
G24000504914011,0.098231958,0.645940426,0.552159943,0.059288952,18956.98274,0.0
G24000504914012,0.14208558,0.660996457,0.640674914,0.137238298,-5637.403806,0.0
G24000504914021,0.116454115,0.643936737,0.673786363,0.097006061,-3896.043092,0.032822416
G24000504914022,0.102403257,0.634053549,0.552159943,0.126014871,730.5951497,0.0
G24000504915001,0.080490841,0.618183483,0.628095894,0.081206162,42855.53032,0.0
G24000504915002,0.150023065,0.61574272,0.706751943,0.149182625,27558.11136,0.0
G24000504915003,0.156749844,0.598633071,0.553982629,0.087787541,67024.33252,0.0
G24000504916001,0.113311081,0.601047819,0.648959348,0.118765088,25666.7569,0.0
G24000504916002,0.081734039,0.603582229,0.552740896,0.098394154,31903.21609,0.0
G24000504916003,0.066346852,0.602762089,0.552562594,0.035884818,42349.84847,0.0
G24000504917011,0.183582107,0.698696638,0.899562254,0.205414027,5758.128098,0.0
G24000504917012,0.15891437,0.734343121,0.685777312,0.209658008,10992.82885,0.0
G24000504917013,0.263721799,0.792390122,0.648565485,0.445054618,11667.33998,0.0
G24000504919001,0.151859788,0.636715139,0.845173971,0.140604223,13752.47303,0.0
G24000504919002,0.145791414,0.63327957,0.986954129,0.129887873,3861.032977,0.0
G24000504920011,0.144487426,0.641541038,0.702138522,0.13878009,21527.74807,0.0
G24000504920012,0.163134948,0.626658929,0.807098655,0.229784041,-9908.953859,0.0
G24000504920021,0.114878552,0.655846264,0.60590062,0.111328338,31551.69157,0.0
G24000504920022,0.154743524,0.60564428,0.767162665,0.205454869,22477.17217,0.0
G24000504920023,0.152327204,0.659579626,0.725476974,0.194067142,1688.682363,0.0
G24000504920024,0.154253369,0.635539254,0.68302946,0.146566922,30192.00613,0.0
G24000504921011,0.14772904,0.630483026,0.894104839,0.133306866,-3397.859606,0.0
G24000504921012,0.194471447,0.617604926,0.743177437,0.259363307,12451.7429,0.0
G24000504921013,0.152674077,0.605160986,0.70625109,0.194058146,22272.30901,0.0
G24000504921014,0.167619833,0.538764698,0.755233075,0.192459161,17465.42404,0.0
G24000504921021,0.140266339,0.514566798,0.774420989,0.187861472,13922.86977,0.0
G24000504921022,0.141001383,0.605906099,0.792649593,0.19566732,-1778.698434,0.373703954
G24000504922001,0.296331501,0.723030339,0.744938868,0.371306203,5092.638826,0.0
G24000504922002,0.17322376,0.720572508,0.660921789,0.327251845,5365.955419,0.0
G24000504922003,0.17722586,0.740754278,0.616444676,0.198314785,33259.41824,0.0
G24000504923001,0.060193094,0.628814618,0.551788602,0.035277331,24856.09399,0.0
G24000504923002,0.172041839,0.69757131,0.661516687,0.211926113,-18497.18205,0.011396109
G24000504924011,0.176040661,0.768544411,0.603304819,0.341787049,-51546.39672,0.0
G24000504924012,0.239029102,0.885698016,0.552986143,0.469911288,-20319.90323,0.0
G24000504924021,0.309547,0.884383787,0.55707463,0.489905804,-14461.67882,0.0
G24000504924022,0.226753504,0.890666687,0.546182782,0.443227691,17190.11575,0.0
G24000504926002,0.306149843,0.789289412,0.589860764,0.405803272,-18779.87678,0.0
G24000504926003,0.190387499,0.771645437,0.605872329,0.308128782,7702.674957,0.0
G24001305081022,0.153570794,0.861148088,0.561429037,0.09620026,30875.55867,0.0
G24051000101001,0.134947828,0.37310488,0.514948743,0.313796912,97822.08686,0.0
G24051000101002,0.191459176,0.375713069,0.430043315,0.332232902,94023.74066,0.0
G24051000101003,0.181273345,0.499677427,0.487432629,0.411852297,87107.05022,0.0
G24051000102001,0.119361961,0.324962054,0.550345912,0.293245852,3617.753,0.0
G24051000102002,0.119224537,0.336808061,0.547765369,0.294117335,26109.60279,0.0
G24051000102003,0.114269323,0.355647435,0.546525209,0.257663252,80916.61412,0.0
G24051000102004,0.150913918,0.317646623,0.494053223,0.317734482,10542.44633,0.0
G24051000103001,0.122013497,0.428997519,0.502885903,0.311357744,81370.74282,0.163227995
G24051000103002,0.13956625,0.384021407,0.442650218,0.274393224,65564.68273,0.0
G24051000104001,0.116090408,0.410362102,0.510356423,0.246120884,79689.91788,0.0
G24051000104002,0.287272795,0.437562349,0.172201232,0.400829361,123096.5039,0.0
G24051000105001,0.309347244,0.440139404,0.247143442,0.467017433,13586.16315,0.0
G24051000105002,0.186207444,0.381770168,0.376811853,0.342912806,32992.82308,0.0
G24051000201001,0.283526279,0.340255753,0.243933995,0.416927357,-341.8470345,0.0
G24051000201002,0.178127176,0.332615461,0.278600122,0.292926706,61201.89912,0.0
G24051000202001,0.322661979,0.437798032,0.109808331,0.40124979,23856.7239,0.0
G24051000202002,0.201424706,0.309198238,0.252821553,0.34945556,49962.76086,0.0
G24051000203001,0.174846734,0.304739893,0.346113154,0.286235055,68374.87177,0.0
G24051000203002,0.260956476,0.164108384,0.295543915,0.291227827,111868.219,0.0
G24051000203003,0.231091285,0.101437621,0.230526606,0.32173726,160512.6105,0.0
G24051000301001,0.209507273,0.169585929,0.301449482,0.162992151,46165.75586,0.0
G24051000301002,0.31758083,0.49567088,0.174900393,0.415465497,-31560.82738,0.0
G24051000302001,0.333312226,0.287552627,0.337752552,0.347692175,38238.42722,0.0
G24051000302002,0.226057721,0.209161525,0.24776072,0.321769364,115704.357,0.0
G24051000601001,0.077471505,0.413424082,0.553636121,0.07901193,-1528.290709,0.0
G24051000601002,0.106166847,0.418047507,0.542127511,0.229503403,-18288.21279,0.0
G24051000601003,0.111911826,0.411193446,0.526319907,0.223285559,-9209.400445,0.0
G24051000601004,0.126911613,0.408331939,0.552159943,0.108683729,-17339.17806,0.0
G24051000602001,0.128880146,0.384608475,0.549270117,0.140307159,-20347.43338,0.0
G24051000602002,0.136534616,0.370357399,0.524516311,0.22625596,-9862.061971,0.0
G24051000602003,0.142873657,0.327194298,0.521601287,0.271583305,-12739.73263,0.0
G24051000602004,0.111341404,0.328392438,0.535121256,0.25570857,-18888.53986,0.0
G24051000602005,0.110608774,0.322331278,0.552159943,0.142003867,-11467.81417,0.0
G24051000603001,0.124328384,0.292433567,0.527255446,0.215459053,-18772.63423,0.0
G24051000603002,0.190139236,0.429973225,0.406811829,0.321055076,-18693.17692,0.0
G24051000604001,0.104133925,0.80139696,0.375794359,0.276082965,-20620.82633,0.0
G24051000604002,0.240166778,0.368203683,0.325169582,0.2807568,-28208.26366,0.0
G24051000701002,0.108735458,0.379441247,0.552159943,0.052166442,-4457.009378,0.0
G24051000702001,0.110588038,0.414294108,0.552159943,0.597139439,-92462.09708,0.0
G24051000703002,0.148870013,0.377298199,0.552159943,0.722956721,-136101.5253,0.0
G24051000801011,0.293091555,0.474775919,0.571231178,0.272569262,7068.358854,0.002248742
G24051000801012,0.128660256,0.530141309,0.56421152,0.068703914,780.7064078,0.0
G24051000801013,0.130327468,0.457981007,0.552159943,0.088493504,-1800.496952,0.0
G24051000801014,0.12428217,0.481990527,0.562258071,0.092783213,-8120.39519,0.0
G24051000801021,0.11537224,0.46015337,0.552159943,0.125244942,-17757.00189,0.0
G24051000801022,0.055916225,0.436647632,0.55176397,0.021931666,15374.74205,0.0
G24051000802001,0.121354725,0.597850736,0.552159943,0.388145459,-80028.63772,0.0
G24051000803021,0.133651626,0.573420538,0.552159943,0.367932736,-71032.50209,0.0
G24051000803022,0.085992016,0.485338604,0.552159943,0.188070615,-29379.31119,0.0
G24051000803023,0.076618347,0.475308901,0.552159943,0.111577928,-18709.73339,0.0
G24051000803024,0.097008972,0.571562052,0.55051324,0.244754637,-42699.99949,0.0
G24051000808001,0.272971641,0.879909365,0.074616208,0.687418588,-148989.9503,0.0
G24051000808002,0.251425951,0.426847694,0.263987,0.327668708,-66810.6743,0.0
G24051000901001,0.175703893,0.441241109,0.55257233,0.089451857,-24089.41937,0.032834741
G24051000901002,0.129416372,0.563398877,0.553720543,0.150550524,-6746.712197,0.336213723
G24051000901003,0.123596925,0.529839357,0.547778808,0.133517931,-5511.842992,0.0
G24051000901004,0.200446002,0.413867728,0.547168197,0.252940115,-51532.45783,0.0
G24051000901005,0.126698578,0.447062054,0.551064659,0.107230114,-18946.30409,0.0
G24051000902001,0.193684838,0.522513595,0.547890714,0.316920588,-28626.85644,0.0
G24051000902002,0.188396082,0.570339654,0.543851032,0.311622457,-42970.37591,0.113364717
G24051000903001,0.164114146,0.556235226,0.553982629,0.222391046,-10509.07814,0.367568094
G24051000903002,0.172952193,0.457094286,0.548682683,0.106899932,-16398.9032,0.0
G24051000903003,0.156315168,0.489503766,0.552159943,0.125143413,5848.783932,0.0
G24051000903004,0.134892638,0.422406823,0.549596441,0.13123527,-16991.02377,0.0
G24051000904001,0.112696777,0.444379227,0.546425247,0.037137562,-6034.800186,0.0
G24051000905002,0.164649377,0.420326375,0.523997107,0.171212691,-31078.84058,0.0
G24051000906001,0.393576029,0.419954445,0.482737285,0.340270186,-117359.1456,0.0
G24051000906003,0.164037502,0.43768858,0.552159943,0.140821733,-35090.77008,0.0
G24051000906004,0.178312236,0.460164185,0.552159943,0.118487367,-33772.59656,0.0
G24051001001001,0.098732857,0.805881582,0.552159943,0.013823595,-35243.46927,0.0
G24051001001003,0.239779259,0.511860244,0.384374306,0.158479185,-35138.00254,0.0
G24051001001004,0.107486531,0.672284719,0.520586803,0.135116196,-38504.73991,0.0
G24051001101001,0.584728808,0.280873983,0.079252555,0.552395357,11654.24665,0.626753888
G24051001102001,0.564859669,0.2949823,0.0,0.684803796,52882.40865,1.0
G24051001102003,0.265229211,0.102783214,0.259664406,0.226444447,100027.3606,0.061936091
G24051001201001,0.600604403,0.457998067,0.393094719,0.612328266,18986.32275,0.0
G24051001201002,0.55840292,0.501849758,0.360469852,0.724138104,139488.8449,0.0
G24051001201003,0.461945012,0.420516367,0.313388076,0.457895328,119544.4409,0.0
G24051001202011,0.302017657,0.402437034,0.385069071,0.370212954,11871.13151,0.0
G24051001202012,0.208020261,0.316525154,0.500994543,0.154497712,17497.05167,0.0
G24051001202024,0.469943081,0.340722678,0.162432002,0.72321167,-9517.48946,0.086907661
G24051001202025,0.860798761,0.332432072,0.082849721,0.942614735,-128340.2104,0.0
G24051001203001,0.255135098,0.387197654,0.422540929,0.269177626,-34007.18669,0.0
G24051001203002,0.23768639,0.335870715,0.487109915,0.16556107,-35943.96988,0.0
G24051001203003,0.238977026,0.298236591,0.454177862,0.2051695,-30147.99764,0.0
G24051001203004,0.314006592,0.324314153,0.355334485,0.280329256,-37705.68107,0.0
G24051001204001,0.552333517,0.251410777,0.074616208,0.876450981,-129372.44,0.0
G24051001204002,0.660067185,0.293023482,0.133020838,0.754268563,-157337.6248,0.0
G24051001205001,0.45595593,0.364647944,0.095561109,0.665689011,-55741.76048,0.64582939
G24051001205002,0.37455746,0.380030204,0.142836742,0.583781061,-76414.91481,0.818057752
G24051001206001,0.381525811,0.400205332,0.309199096,0.554955087,-34096.72592,0.051400629
G24051001206002,0.374783484,0.341330871,0.225376602,0.444635088,-36524.16154,0.0
G24051001206003,0.568461995,0.236399426,0.074616208,0.755645567,-89178.20294,0.0
G24051001207001,0.103821344,0.424828752,0.541691025,0.098058719,24658.023,0.043562943
G24051001207002,0.10591267,0.36300996,0.50460372,0.082481594,12958.89176,0.205232033
G24051001207003,0.079948381,0.356042668,0.539654706,0.06750489,13587.81887,0.342281992
G24051001301001,0.45765879,0.398394192,0.293896495,0.484002155,-114333.6469,0.0
G24051001301002,0.526643631,0.411268823,0.188696101,0.52366836,-140668.7641,0.778257842
G24051001301003,0.442276057,0.411622627,0.370558804,0.474374063,-109767.1474,0.04614533
G24051001301004,0.8965881,0.337455264,0.074616208,0.847609029,-207766.221,0.0
G24051001302001,0.528733216,0.288325948,0.132416891,0.543436449,-68286.38741,0.0
G24051001302002,0.606667606,0.317438696,0.074616208,0.638351457,-119300.2999,0.0
G24051001302003,0.787254056,0.380865269,0.045922594,0.85771381,-194075.9665,0.0
G24051001302004,0.609851977,0.330579879,0.103224819,0.562974002,-126969.6398,0.0
G24051001303001,0.550743618,0.343282641,0.208415478,0.572948299,-131421.7835,0.0
G24051001303002,0.195658781,0.324874868,0.434057729,0.187461991,-38671.58419,0.0
G24051001303003,0.125809796,0.363059069,0.484499742,0.146602765,-28249.63621,0.0
G24051001304001,0.442779919,0.406458065,0.24776072,0.523316823,-130139.7815,0.0
G24051001304002,0.194924538,0.397770051,0.491887433,0.111439187,-36156.41126,0.0
G24051001304003,0.42284539,0.381872078,0.191130316,0.575793577,-126878.3722,0.0
G24051001306001,0.124765543,0.293601894,0.500037791,0.14262877,57487.22855,0.143886378
G24051001306002,0.124270231,0.326394808,0.480235668,0.090760991,76189.87457,0.0
G24051001306003,0.123291877,0.32131486,0.53842349,0.124171483,46460.94256,0.0
G24051001306004,0.132338239,0.27683255,0.47945697,0.155927624,44789.69266,0.0
G24051001307001,0.694879729,0.398105433,0.333285731,0.66393133,24094.03723,0.0
G24051001307002,0.217095043,0.462861126,0.519290049,0.20003129,105055.5769,0.0
G24051001307003,0.12109586,0.350843151,0.535536585,0.117759668,48868.59988,0.0
G24051001307004,0.153096262,0.229263902,0.529657882,0.164915477,57514.90014,0.0
G24051001307005,0.160579066,0.474717718,0.503955056,0.170679519,45687.55041,0.0
G24051001307006,0.140922347,0.366680359,0.524069135,0.183619058,33986.45555,0.0
G24051001308031,0.081139914,0.608975381,0.577813119,0.121868218,62604.34323,0.543092667
G24051001308032,0.078003159,0.520181875,0.598479076,0.106602276,50669.82262,0.0
G24051001308033,0.098698518,0.527771682,0.558373337,0.112215416,33783.71427,0.0
G24051001308041,0.126247425,0.400378059,0.533251673,0.156165355,29191.67271,0.686406917
G24051001308042,0.108632656,0.357181749,0.48878434,0.134004279,40978.55122,0.347708183
G24051001308051,0.209118238,0.876613805,0.348949843,0.445081305,-38593.09844,0.091069079
G24051001308061,0.147155043,0.494284803,0.497747164,0.15763478,-12108.6342,0.342671229
G24051001401001,0.55474819,0.164545847,0.077447495,0.621691399,75176.53981,0.0
G24051001401002,0.698224299,0.262940397,0.105462335,0.79368017,-30204.90968,0.0
G24051001401003,0.477642381,0.605600905,0.172671855,0.58057505,-41734.52897,0.0
G24051001401004,0.521192133,0.484962026,0.239379601,0.680553746,10679.87793,0.0
G24051001403002,0.160593854,0.843952586,0.47256932,0.341103859,-130519.5423,0.0
G24051001403003,0.884230328,0.4204882,0.00976459,0.866780775,-184568.7628,0.0
G24051001504001,0.199415107,0.455463915,0.552159943,0.064357615,-30994.15079,0.0
G24051001505002,0.175289339,0.51618733,0.554311041,0.095297667,-24931.41808,0.099303796
G24051001506005,0.346326658,0.679804893,0.464722358,0.385474997,-119036.5822,0.0
G24051001507011,0.434078917,0.486158794,0.47035847,0.372644474,-119956.4002,0.0
G24051001507012,0.212707384,0.483386706,0.522772636,0.182515934,-40167.35238,0.0
G24051001507013,0.15667879,0.478470944,0.552159943,0.079724927,-10783.29803,0.0
G24051001507021,0.146755047,0.525597236,0.558243303,0.075141671,-19023.49104,0.252966852
G24051001507022,0.196953336,0.420187333,0.560276834,0.212849553,-51709.58027,0.0
G24051001507023,0.284671572,0.436983747,0.49744139,0.20640688,-61900.55206,0.0
G24051001508001,0.407272017,0.4190883,0.544924432,0.415847165,-128009.7212,0.0
G24051001508002,0.424316312,0.466008464,0.421326043,0.400423597,-119826.5442,0.0
G24051001508003,0.40568301,0.431532892,0.469410962,0.42008792,-118082.4894,0.0
G24051001508004,0.419844642,0.411916281,0.424286858,0.461339813,-114263.8291,0.0
G24051001508005,0.366830828,0.411452157,0.497359842,0.379244583,-110489.9228,0.0
G24051001508006,0.514811415,0.403437735,0.442282623,0.611325327,-162196.2781,0.0
