GISJOIN,AJWME001
G24002300001002,1538
G24002300001003,1135
G24002300002001,2052
G24002300002002,2161
G24002300003001,1344
G24002300003002,1475
G24002300004001,1226
G24002300004002,836
G24002300004003,922
G24002300005001,1085
G24002300005002,1510
G24002300005003,1483
G24002300006001,1251
G24002300006002,362
G24002300006003,1110
G24002300006004,1284
G24002300006005,1302
G24002300006006,533
G24002300007001,2135
G24002300007002,2519
G24002300007003,1087
G24002503011021,1379
G24002503011022,1601
G24002503011023,925
G24002503011051,1859
G24002503011052,1978
G24002503011061,1421
G24002503011062,2794
G24002503011071,1288
G24002503011072,1997
G24002503011081,1430
G24002503011082,1373
G24002503011083,418
G24002503012011,748
G24002503012012,1247
G24002503012021,2091
G24002503012022,860
G24002503012023,1256
G24002503012024,2879
G24002503012041,4130
G24002503012051,1349
G24002503012052,1923
G24002503012053,1105
G24002503013011,1854
G24002503013012,1597
G24002503013013,840
G24002503013021,2680
G24002503013022,1311
G24002503013023,538
G24002503013024,2265
G24002503014011,1027
G24002503014012,2866
G24002503014013,2172
G24002503014014,1379
G24002503014021,796
G24002503014022,1883
G24002503016011,571
G24002503016012,2063
G24002503016013,890
G24002503016014,1247
G24002503016015,1737
G24002503016021,1145
G24002503016022,4271
G24002503016023,3021
G24002503017021,2180
G24002503017022,3020
G24002503017023,758
G24002503017024,263
G24002503017025,2766
G24002503017031,2820
G24002503017032,2076
G24002503017041,1287
G24002503017042,2109
G24002503021001,1289
G24002503021002,797
G24002503022001,454
G24002503022002,2719
G24002503024001,1674
G24002503024002,1062
G24002503024003,1258
G24002503028011,908
G24002503028012,989
G24002503028013,1716
G24002503028021,937
G24002503028022,1158
G24002503028023,1271
G24002503028024,1513
G24002503029011,1203
G24002503029012,1644
G24002503029021,1285
G24002503029022,1100
G24002503029023,1678
G24002503031011,450
G24002503031012,494
G24002503031013,449
G24002503031014,2701
G24002503031015,2013
G24002503031021,2062
G24002503031022,752
G24002503032011,672
G24002503032012,819
G24002503032013,2318
G24002503032014,1968
G24002503032031,984
G24002503032032,1605
G24002503032033,1079
G24002503032041,2637
G24002503032042,564
G24002503032043,1320
G24002503032051,1644
G24002503032061,2197
G24002503032062,1372
G24002503033001,2992
G24002503033002,520
G24002503033003,1541
G24002503033004,1150
G24002503034001,2411
G24002503034002,794
G24002503034003,1354
G24002503035011,2734
G24002503035012,3895
G24002503035021,313
G24002503035022,1452
G24002503035023,848
G24002503035024,1003
G24002503036021,1931
G24002503036022,1665
G24002503036031,2008
G24002503036032,1485
G24002503036033,880
G24002503036034,2468
G24002503036051,2186
G24002503036052,3897
G24002503036061,3296
G24002503037001,879
G24002503037002,751
G24002503037003,2138
G24002503038011,982
G24002503038012,1626
G24002503038021,2112
G24002503038031,2097
G24002503038032,1289
G24002503038033,906
G24002503038034,599
G24002503039001,2304
G24002503041011,2669
G24002503041012,1724
G24002503041021,2008
G24002503041022,870
G24002503041023,1026
G24002503042011,1167
G24002503042012,2411
G24002503042013,1012
G24002503042014,665
G24002503042015,1218
G24002503042021,2433
G24002503042022,867
G24002503042023,870
G24002503042024,1587
G24002503042025,1154
G24002503051001,2995
G24002503051002,1954
G24002503051003,1723
G24002503051004,1152
G24002503052001,685
G24002503052002,1427
G24002503052003,649
G24002503053001,881
G24002503053002,1111
G24002503061001,763
G24002503061002,745
G24002503061003,2229
G24002503061004,444
G24002503062001,957
G24002503062002,604
G24002503062003,561
G24002503063001,708
G24002503063002,400
G24002503063003,1698
G24002503064001,408
G24002503064002,881
G24002503064003,1139
G24002503064004,1398
G24002503064005,917
G24002503064006,1231
G24002503065001,217
G24002503065002,461
G24002503065003,2262
G24002706011031,2748
G24002706011032,2340
G24002706011033,1030
G24002706011041,2018
G24002706011042,3690
G24002706011043,856
G24002706011051,2559
G24002706011052,752
G24002706011053,1376
G24002706011071,3344
G24002706011072,2049
G24002706011081,2084
G24002706011082,1801
G24002706012011,952
G24002706012012,2257
G24002706012013,1375
G24002706012014,1918
G24002706012015,2332
G24002706012031,5213
G24002706012032,1304
G24002706012041,3119
G24002706012042,2641
G24002706021001,711
G24002706021002,1690
G24002706021003,910
G24002706021004,1442
G24002706021005,2147
G24002706021006,710
G24002706022011,2570
G24002706022012,968
G24002706022021,1522
G24002706022022,2937
G24002706022023,1320
G24002706023021,2872
G24002706023022,1434
G24002706023023,3290
G24002706023031,1763
G24002706023032,935
G24002706023033,1226
G24002706023041,1408
G24002706023042,2188
G24002706023043,1621
G24002706023051,1424
G24002706023052,2344
G24002706023061,2876
G24002706023062,2728
G24002706026001,2643
G24002706026002,811
G24002706026003,4525
G24002706027001,2429
G24002706027002,3109
G24002706028001,2476
G24002706028002,1285
G24002706028003,2672
G24002706029001,1877
G24002706029002,2774
G24002706030011,2249
G24002706030012,1515
G24002706030013,2487
G24002706030031,2427
G24002706030032,1622
G24002706030041,2359
G24002706030042,3241
G24002706030043,1175
G24002706040011,1929
G24002706040012,2168
G24002706040013,2191
G24002706040021,1147
G24002706040022,1491
G24002706040023,2783
G24002706040024,2703
G24002706051021,1922
G24002706051022,2949
G24002706051023,4390
G24002706051024,1834
G24002706051031,2235
G24002706051032,2926
G24002706051041,2345
G24002706051042,2987
G24002706054011,2244
G24002706054012,586
G24002706054013,1396
G24002706054014,851
G24002706054021,1436
G24002706054022,2625
G24002706054023,1330
G24002706054024,2111
G24002706055021,2193
G24002706055022,1832
G24002706055023,1194
G24002706055031,748
G24002706055032,2666
G24002706055033,3180
G24002706055041,2647
G24002706055051,3697
G24002706055052,2419
G24002706056011,2101
G24002706056012,1567
G24002706056013,1521
G24002706056014,1328
G24002706056021,1832
G24002706056022,2855
G24002706056023,1548
G24002706056024,2018
G24002706066011,1590
G24002706066012,1433
G24002706066031,2196
G24002706066032,2018
G24002706066033,1343
G24002706066034,812
G24002706066035,1607
G24002706066041,1895
G24002706066042,2426
G24002706066061,2764
G24002706066062,2605
G24002706066071,2218
G24002706066072,2796
G24002706067011,1523
G24002706067012,1317
G24002706067041,2256
G24002706067042,2906
G24002706067043,1701
G24002706067051,1935
G24002706067061,865
G24002706067062,2643
G24002706067063,1467
G24002706067071,2485
G24002706067072,1336
G24002706068031,2817
G24002706068032,2103
G24002706068033,958
G24002706068041,2499
G24002706068042,950
G24002706068051,1866
G24002706068052,974
G24002706068053,1634
G24002706068061,4641
G24002706068062,2205
G24002706068063,1261
G24002706069011,1894
G24002706069012,1108
G24002706069013,2314
G24002706069014,924
G24002706069041,1686
G24002706069042,1206
G24002706069043,1951
G24002706069051,1805
G24002706069052,1628
G24002706069053,3292
G24002706069061,3513
G24002706069062,2846
G24002706069071,1679
G24002706069072,2517
G24002706069073,2524
G24002909501001,1396
G24002909501002,599
G24002909501003,1061
G24002909501004,552
G24002909502001,1399
G24002909502002,1195
G24002909502003,611
G24002909502004,763
G24002909502005,775
G24002909503001,1560
G24002909503002,1474
G24002909503003,1561
G24002909503004,971
G24002909504001,1440
G24002909504002,829
G24002909504003,880
G24002909505001,528
G24002909505002,1043
G24002909505003,956
G24002909900000,0
G24003107001011,1894
G24003107001012,1708
G24003107001013,826
G24003107001031,1121
G24003107001032,1041
G24003107001033,3016
G24003107001041,2436
G24003107001042,2284
G24003107001043,880
G24003107001051,1473
G24003107001052,1712
G24003107001053,3189
G24003107002041,1201
G24003107002042,735
G24003107002051,8236
G24003107002052,2589
G24003107002053,901
G24003107002061,1775
G24003107002062,1100
G24003107002063,2660
G24003107002071,2689
G24003107002072,2968
G24003107002081,1193
G24003107002082,1150
G24003107003041,1183
G24003107003042,2306
G24003107003043,2559
G24003107003044,2507
G24003107003061,1255
G24003107003062,3503
G24003107003063,2779
G24003107003081,1015
G24003107003082,1582
G24003107003083,856
G24003107003084,2409
G24003107003091,2724
G24003107003092,3189
G24003107003101,3604
G24003107003102,913
G24003107003103,1306
G24003107003104,883
G24003107003111,4465
G24003107003112,1117
G24003107003113,4766
G24003107003121,1360
G24003107003122,2026
G24003107003123,3028
G24003107004001,780
G24003107004002,1295
G24003107005001,2439
G24003107005002,2088
G24003107005003,2153
G24003107006041,2551
G24003107006042,1130
G24003107006043,1502
G24003107006044,1241
G24003107006061,1150
G24003107006062,1081
G24003107006063,2049
G24003107006071,1683
G24003107006072,1394
G24003107006073,1729
G24003107006074,2877
G24003107006081,1642
G24003107006082,2923
G24003107006083,1223
G24003107006101,2193
G24003107006111,2462
G24003107006112,3572
G24003107006131,2024
G24003107006132,2618
G24003107006133,1020
G24003107006134,726
G24003107006141,1650
G24003107006142,1148
G24003107006143,2392
G24003107006151,1408
G24003107006152,1552
G24003107006161,1152
G24003107006162,1953
G24003107006163,1662
G24003107007041,941
G24003107007042,1819
G24003107007043,631
G24003107007061,2985
G24003107007062,1388
G24003107007101,1555
G24003107007102,946
G24003107007103,1320
G24003107007104,1942
G24003107007105,1088
G24003107007111,2732
G24003107007112,2035
G24003107007113,1095
G24003107007131,1311
G24003107007132,1893
G24003107007133,2998
G24003107007151,2332
G24003107007152,2052
G24003107007153,769
G24003107007154,1615
G24003107007161,2183
G24003107007162,4367
G24003107007163,2341
G24003107007171,2598
G24003107007172,1416
G24003107007173,2522
G24003107007174,977
G24003107007181,4631
G24003107007182,1426
G24003107007191,2713
G24003107007192,3324
G24003107007193,3436
G24003107007201,1483
G24003107007202,1997
G24003107007211,1516
G24003107007212,1889
G24003107007221,2725
G24003107007222,663
G24003107007223,1656
G24003107007231,1711
G24003107007232,1183
G24003107007233,876
G24003107007241,3780
G24003107008101,731
G24003107008102,2874
G24003107008103,1702
G24003107008111,1399
G24003107008112,866
G24003107008113,2071
G24003107008121,2490
G24003107008122,1475
G24003107008131,1127
G24003107008132,1261
G24003107008133,1328
G24003107008134,2328
G24003107008151,2742
G24003107008152,3223
G24003107008153,524
G24003107008154,1258
G24003107008161,2624
G24003107008162,2307
G24003107008163,1795
G24003107008164,1722
G24003107008171,1579
G24003107008172,1996
G24003107008173,3625
G24003107008181,1056
G24003107008182,2022
G24003107008183,1243
G24003107008184,2078
G24003107008191,1290
G24003107008192,1640
G24003107008193,2929
G24003107008194,1405
G24003107008201,2659
G24003107008221,1847
G24003107008231,2718
G24003107008232,805
G24003107008241,2811
G24003107008261,856
G24003107008262,2427
G24003107008263,2449
G24003107008281,2242
G24003107008291,1579
G24003107008292,1694
G24003107008301,3013
G24003107008321,3242
G24003107008331,1670
G24003107008332,2193
G24003107008341,1014
G24003107008342,1967
G24003107008343,2104
G24003107008351,1467
G24003107008352,3331
G24003107009011,2471
G24003107009012,1795
G24003107009021,2129
G24003107009022,2054
G24003107009031,2366
G24003107009041,1802
G24003107009042,1427
G24003107009051,1763
G24003107009052,2293
G24003107010011,3043
G24003107010012,2251
G24003107010013,602
G24003107010021,823
G24003107010022,1988
G24003107010023,954
G24003107010041,1609
G24003107010042,1530
G24003107010043,1518
G24003107010044,1199
G24003107010051,2459
G24003107010052,885
G24003107010061,1499
G24003107010062,2352
G24003107010063,1639
G24003107010071,2542
G24003107010072,719
G24003107011011,774
G24003107011012,1336
G24003107011013,485
G24003107011014,891
G24003107011015,1368
G24003107011021,2006
G24003107011022,2361
G24003107011023,762
G24003107011024,790
G24003107011025,534
G24003107012011,2018
G24003107012012,1966
G24003107012013,1918
G24003107012021,1485
G24003107012022,1279
G24003107012051,2355
G24003107012052,2995
G24003107012053,762
G24003107012054,879
G24003107012061,1615
G24003107012062,1726
G24003107012063,771
G24003107012064,2206
G24003107012101,1019
G24003107012102,1832
G24003107012103,1137
G24003107012111,2231
G24003107012112,3902
G24003107012113,500
G24003107012121,778
G24003107012122,664
G24003107012123,1140
G24003107012131,1403
G24003107012132,1117
G24003107012133,2252
G24003107012134,1080
G24003107012135,1488
G24003107012141,2574
G24003107012142,1293
G24003107012151,751
G24003107012152,999
G24003107012153,2064
G24003107012154,1012
G24003107012161,518
G24003107012162,2058
G24003107012163,1464
G24003107012164,1016
G24003107012181,2531
G24003107012182,0
G24003107012183,521
G24003107012191,4289
G24003107012201,1342
G24003107012202,2479
G24003107012211,1824
G24003107012212,2634
G24003107013031,1225
G24003107013032,2198
G24003107013041,2112
G24003107013042,1034
G24003107013043,1112
G24003107013044,1728
G24003107013061,1373
G24003107013062,1577
G24003107013071,4459
G24003107013081,1499
G24003107013082,1866
G24003107013121,1581
G24003107013122,1635
G24003107013123,2356
G24003107013124,1131
G24003107013131,2019
G24003107013132,1751
G24003107013141,1655
G24003107013142,1502
G24003107013151,1992
G24003107013152,2563
G24003107013161,3317
G24003107013162,3102
G24003107013171,1465
G24003107013172,1625
G24003107013173,1347
G24003107014071,2039
G24003107014072,1128
G24003107014073,2299
G24003107014081,1994
G24003107014082,1101
G24003107014083,1635
G24003107014084,1894
G24003107014091,1153
G24003107014092,1623
G24003107014093,1632
G24003107014101,1357
G24003107014102,4878
G24003107014103,3387
G24003107014141,1874
G24003107014142,1262
G24003107014143,2282
G24003107014144,2270
G24003107014151,1039
G24003107014152,1375
G24003107014153,1165
G24003107014154,983
G24003107014155,3005
G24003107014171,1096
G24003107014172,1578
G24003107014173,1227
G24003107014174,2084
G24003107014181,3492
G24003107014201,2851
G24003107014202,483
G24003107014203,2115
G24003107014204,1575
G24003107014211,1927
G24003107014221,1665
G24003107014222,1235
G24003107014231,1395
G24003107014232,1745
G24003107014233,2032
G24003107015031,1821
G24003107015032,1240
G24003107015033,1679
G24003107015034,1789
G24003107015051,1917
G24003107015052,2211
G24003107015053,3248
G24003107015061,1965
G24003107015062,2558
G24003107015063,594
G24003107015071,2225
G24003107015072,1219
G24003107015073,1657
G24003107015081,1295
G24003107015082,620
G24003107015083,2034
G24003107015091,1392
G24003107015092,1495
G24003107015093,1865
G24003107015094,2045
G24003107016011,2634
G24003107016021,2154
G24003107016022,2096
G24003107016023,734
G24003107016024,2296
G24003107017011,552
G24003107017012,2013
G24003107017013,1049
G24003107017021,2619
G24003107017031,1501
G24003107017032,1009
G24003107017033,1159
G24003107017041,1466
G24003107017042,1552
G24003107018001,1708
G24003107018002,1397
G24003107018003,946
G24003107018004,846
G24003107019001,1584
G24003107019002,972
G24003107019003,693
G24003107020001,1739
G24003107020002,1186
G24003107020003,2265
G24003107021011,2276
G24003107021012,922
G24003107021013,1495
G24003107021014,1481
G24003107021021,1390
G24003107021022,1145
G24003107021023,951
G24003107022001,1577
G24003107022002,741
G24003107022003,1325
G24003107022004,847
G24003107023011,2028
G24003107023012,1633
G24003107023021,1010
G24003107023022,1021
G24003107023023,2112
G24003107024011,894
G24003107024012,1602
G24003107024021,1292
G24003107024022,1189
G24003107024023,2168
G24003107025001,1944
G24003107025002,947
G24003107025003,874
G24003107025004,3713
G24003107026011,923
G24003107026012,1424
G24003107026013,933
G24003107026014,1153
G24003107026021,1041
G24003107026022,4343
G24003107027001,2813
G24003107027002,1189
G24003107027003,910
G24003107027004,2703
G24003107028001,1296
G24003107028002,1854
G24003107028003,945
G24003107028004,1334
G24003107029001,937
G24003107029002,1438
G24003107029003,840
G24003107029004,1551
G24003107029005,484
G24003107030001,737
G24003107030002,1035
G24003107031001,1433
G24003107031002,1030
G24003107031003,1242
G24003107031004,997
G24003107032011,3209
G24003107032012,1988
G24003107032013,1117
G24003107032014,1644
G24003107032021,1643
G24003107032022,1919
G24003107032023,2331
G24003107032061,2065
G24003107032062,1703
G24003107032071,3838
G24003107032072,2278
G24003107032081,1206
G24003107032082,1221
G24003107032083,1464
G24003107032084,1726
G24003107032091,2588
G24003107032092,2318
G24003107032093,1598
G24003107032101,2029
G24003107032102,1276
G24003107032121,908
G24003107032122,2968
G24003107032123,1696
G24003107032124,4062
G24003107032131,1869
G24003107032132,2766
G24003107032133,1386
G24003107032141,2183
G24003107032142,3084
G24003107032143,2778
G24003107032151,2214
G24003107032152,1399
G24003107032161,1118
G24003107032162,2266
G24003107032163,606
G24003107032181,1161
G24003107032182,739
G24003107032191,1441
G24003107032192,926
G24003107032193,1052
G24003107032201,893
G24003107032202,3394
G24003107032203,1225
G24003107032211,1536
G24003107032212,1782
G24003107032213,2215
G24003107033011,1710
G24003107033012,771
G24003107033013,1392
G24003107033014,1280
G24003107033021,1741
G24003107033022,1157
G24003107033023,1711
G24003107034011,2295
G24003107034012,1430
G24003107034013,1090
G24003107034014,741
G24003107034021,1231
G24003107034022,2343
G24003107034031,1575
G24003107034032,967
G24003107034033,1016
G24003107034041,1016
G24003107034042,2137
G24003107035011,1702
G24003107035012,2358
G24003107035013,970
G24003107035014,1514
G24003107035021,1844
G24003107035022,992
G24003107036011,2019
G24003107036012,1501
G24003107036013,1161
G24003107036021,1581
G24003107036022,709
G24003107036023,845
G24003107037011,1247
G24003107037012,1493
G24003107037013,1989
G24003107037021,1230
G24003107037022,686
G24003107037023,1248
G24003107037024,999
G24003107038001,3826
G24003107039011,1258
G24003107039012,1177
G24003107039013,983
G24003107039021,1024
G24003107039022,4258
G24003107039023,1890
G24003107040001,640
G24003107040002,1673
G24003107040003,2029
G24003107040004,2264
G24003107041001,1235
G24003107041002,1413
G24003107041003,1272
G24003107041004,997
G24003107042001,1066
G24003107042002,1203
G24003107043001,1057
G24003107043002,1424
G24003107043003,698
G24003107043004,825
G24003107044011,1748
G24003107044012,1643
G24003107044031,1516
G24003107044041,1652
G24003107044042,1080
G24003107044043,1233
G24003107044044,1377
G24003107045011,552
G24003107045012,1076
G24003107045013,1056
G24003107045014,874
G24003107045021,810
G24003107045022,1771
G24003107045031,1495
G24003107045032,2529
G24003107046001,993
G24003107046002,2081
G24003107046003,912
G24003107046004,869
G24003107047001,609
G24003107047002,690
G24003107047003,1420
G24003107047004,797
G24003107048031,782
G24003107048032,2007
G24003107048033,1096
G24003107048041,1714
G24003107048051,1386
G24003107048052,694
G24003107048061,2098
G24003107048062,1363
G24003107050001,1567
G24003107050002,721
G24003107050003,917
G24003107050004,1566
G24003107051001,1554
G24003107051002,1974
G24003107051003,729
G24003107051004,829
G24003107052001,739
G24003107052002,1144
G24003107052003,1443
G24003107053001,696
G24003107053002,1195
G24003107054001,1274
G24003107054002,1691
G24003107055011,940
G24003107055012,1586
G24003107055021,1730
G24003107055022,826
G24003107055023,1295
G24003107056011,1044
G24003107056012,1082
G24003107056013,744
G24003107056021,1325
G24003107056022,3278
G24003107057011,894
G24003107057012,1015
G24003107057013,1665
G24003107057014,942
G24003107057021,1180
G24003107057022,1921
G24003107057023,1545
G24003107058001,2917
G24003107058002,2085
G24003107058003,1041
G24003107059011,1034
G24003107059012,1811
G24003107059013,1466
G24003107059021,1766
G24003107059022,1072
G24003107059023,1247
G24003107059031,1943
G24003107059032,1379
G24003107059033,1033
G24003107060051,1500
G24003107060052,1129
G24003107060053,1791
G24003107060071,1696
G24003107060072,2916
G24003107060073,2709
G24003107060081,1751
G24003107060082,936
G24003107060083,2654
G24003107060091,2223
G24003107060092,1881
G24003107060093,1345
G24003107060101,2011
G24003107060102,1011
G24003107060111,2172
G24003107060112,1375
G24003107060113,1863
G24003107060121,1008
G24003107060122,1249
G24003107060123,1059
G24003107060131,1411
G24003107060132,1506
G24003308001021,748
G24003308001022,1277
G24003308001023,504
G24003308001031,879
G24003308001032,1376
G24003308001051,732
G24003308001052,1272
G24003308001053,1755
G24003308001061,1112
G24003308001062,1481
G24003308001081,2699
G24003308001082,700
G24003308001091,1681
G24003308001092,1116
G24003308001093,999
G24003308002031,2380
G24003308002032,2054
G24003308002061,1410
G24003308002062,2604
G24003308002081,2451
G24003308002082,3852
G24003308002083,2122
G24003308002091,2751
G24003308002092,1773
G24003308002101,874
G24003308002102,2174
G24003308002111,1234
G24003308002112,2298
G24003308002121,3820
G24003308002122,1133
G24003308002131,1007
G24003308002132,1558
G24003308002133,2201
G24003308002141,434
G24003308002142,2100
G24003308002151,990
G24003308002152,1692
G24003308004011,1135
G24003308004012,1405
G24003308004021,527
G24003308004022,1857
G24003308004023,1689
G24003308004024,861
G24003308004031,2574
G24003308004032,1249
G24003308004081,2810
G24003308004082,2187
G24003308004083,2529
G24003308004091,2403
G24003308004092,1454
G24003308004093,2250
G24003308004101,1392
G24003308004102,2920
G24003308004103,2999
G24003308004111,2314
G24003308004112,1574
G24003308004121,1246
G24003308004122,2464
G24003308004131,2089
G24003308004132,1984
G24003308005041,2095
G24003308005042,1447
G24003308005043,1357
G24003308005051,1170
G24003308005052,1360
G24003308005071,2024
G24003308005072,1058
G24003308005091,1535
G24003308005092,3833
G24003308005093,3242
G24003308005094,1599
G24003308005111,1498
G24003308005112,899
G24003308005113,1233
G24003308005114,1463
G24003308005131,1162
G24003308005132,1170
G24003308005133,2389
G24003308005134,1087
G24003308005141,5912
G24003308005151,1982
G24003308005152,1435
G24003308005153,1079
G24003308005161,1038
G24003308005162,2879
G24003308005171,3214
G24003308005172,2732
G24003308005181,1240
G24003308005182,1327
G24003308005183,1091
G24003308005191,2194
G24003308005192,944
G24003308005193,1191
G24003308005201,1927
G24003308006011,1893
G24003308006041,1594
G24003308006051,1250
G24003308006052,3633
G24003308006061,1644
G24003308006062,2824
G24003308006063,894
G24003308006071,2469
G24003308006072,1206
G24003308006073,2160
G24003308006081,2169
G24003308006082,3772
G24003308007011,5057
G24003308007012,1751
G24003308007041,1775
G24003308007042,1303
G24003308007043,1982
G24003308007051,1658
G24003308007052,2552
G24003308007061,3913
G24003308007071,2933
G24003308008001,1456
G24003308008002,1021
G24003308008003,688
G24003308009001,795
G24003308009002,581
G24003308010031,3938
G24003308010032,1536
G24003308010041,957
G24003308010042,4031
G24003308010051,2039
G24003308010052,1907
G24003308010061,1427
G24003308010062,2372
G24003308011041,0
G24003308011042,0
G24003308011043,2964
G24003308012071,1211
G24003308012072,3042
G24003308012081,1614
G24003308012082,3051
G24003308012091,2886
G24003308012092,1895
G24003308012101,2185
G24003308012102,2059
G24003308012111,1636
G24003308012112,1785
G24003308012121,1139
G24003308012122,1965
G24003308012131,972
G24003308012132,2771
G24003308012141,1341
G24003308012142,2935
G24003308012151,2765
G24003308012161,1554
G24003308012162,716
G24003308012163,1581
G24003308012171,1123
G24003308012172,3042
G24003308013021,1684
G24003308013022,1160
G24003308013051,2893
G24003308013052,2744
G24003308013053,566
G24003308013071,2488
G24003308013072,1264
G24003308013081,1648
G24003308013082,2354
G24003308013091,1552
G24003308013092,1912
G24003308013101,3990
G24003308013102,2196
G24003308013111,2203
G24003308013112,2594
G24003308013113,2846
G24003308013121,1175
G24003308013122,2867
G24003308013131,1457
G24003308013132,1923
G24003308014041,1149
G24003308014042,1436
G24003308014043,2746
G24003308014051,2161
G24003308014052,1870
G24003308014061,511
G24003308014062,2270
G24003308014071,1659
G24003308014072,2094
G24003308014073,1059
G24003308014074,1595
G24003308014081,1799
G24003308014082,1424
G24003308014091,1901
G24003308014092,1397
G24003308014101,1516
G24003308014102,1610
G24003308014111,1228
G24003308014112,2272
G24003308015001,1486
G24003308015002,1146
G24003308016001,585
G24003308016002,715
G24003308016003,1354
G24003308017011,2482
G24003308017012,1919
G24003308017021,606
G24003308017022,3416
G24003308017041,1647
G24003308017042,2568
G24003308017043,1552
G24003308017061,1577
G24003308017071,1797
G24003308017072,1225
G24003308017073,3115
G24003308017081,1835
G24003308017082,1777
G24003308018011,1983
G24003308018021,525
G24003308018022,1998
G24003308018023,1061
G24003308018041,538
G24003308018042,1604
G24003308018051,2212
G24003308018071,1432
G24003308018072,2032
G24003308018073,1256
G24003308018081,1004
G24003308018082,1019
G24003308018083,2225
G24003308019011,960
G24003308019012,1025
G24003308019013,741
G24003308019014,1884
G24003308019041,1602
G24003308019042,1515
G24003308019051,1902
G24003308019052,4087
G24003308019061,580
G24003308019062,1238
G24003308019071,2192
G24003308019072,431
G24003308019081,1750
G24003308019082,1535
G24003308020011,1204
G24003308020012,2941
G24003308020013,1321
G24003308020021,450
G24003308020022,1527
G24003308020023,1653
G24003308021031,1844
G24003308021032,1470
G24003308021041,834
G24003308021042,1066
G24003308021061,1759
G24003308021062,1055
G24003308021063,1155
G24003308021071,1190
G24003308021072,711
G24003308021073,1905
G24003308022011,1046
G24003308022012,1186
G24003308022031,2216
G24003308022032,964
G24003308022033,1267
G24003308022041,1992
G24003308022042,1208
G24003308022043,1476
G24003308022044,1671
G24003308023011,1537
G24003308023012,1762
G24003308023013,760
G24003308024041,1378
G24003308024042,716
G24003308024043,2533
G24003308024051,2196
G24003308024052,1738
G24003308024061,873
G24003308024062,1509
G24003308024071,1686
G24003308024072,1697
G24003308024081,1702
G24003308024082,23
G24003308025011,1243
G24003308025012,1257
G24003308025021,879
G24003308025022,1476
G24003308026001,1937
G24003308026002,1507
G24003308027001,1101
G24003308027002,939
G24003308027003,1159
G24003308028031,3629
G24003308028032,1990
G24003308028041,510
G24003308028042,1639
G24003308028043,1506
G24003308028044,1279
G24003308028051,1046
G24003308028052,1250
G24003308028053,2332
G24003308029011,1861
G24003308029012,815
G24003308029013,1558
G24003308030011,1365
G24003308030012,1758
G24003308030021,1330
G24003308030022,1188
G24003308031001,866
G24003308031002,1808
G24003308032001,1652
G24003308032002,1118
G24003308033001,1723
G24003308033002,921
G24003308033003,714
G24003308033004,916
G24003308034011,582
G24003308034012,596
G24003308034021,2665
G24003308034022,784
G24003308034023,778
G24003308035081,1374
G24003308035082,1927
G24003308035083,1031
G24003308035091,1915
G24003308035092,1052
G24003308035121,2328
G24003308035122,2912
G24003308035123,1824
G24003308035131,1101
G24003308035132,1148
G24003308035133,2291
G24003308035141,2505
G24003308035142,2061
G24003308035161,4205
G24003308035162,677
G24003308035191,2659
G24003308035192,643
G24003308035193,2702
G24003308035201,927
G24003308035202,1802
G24003308035203,1785
G24003308035211,6219
G24003308035221,555
G24003308035222,1830
G24003308035223,1150
G24003308035231,1456
G24003308035232,2423
G24003308035241,1956
G24003308035242,2391
G24003308035251,845
G24003308035252,1376
G24003308035261,1761
G24003308035262,1664
G24003308035271,1789
G24003308035272,1507
G24003308036011,2581
G24003308036012,913
G24003308036021,1401
G24003308036022,1115
G24003308036051,1050
G24003308036052,2038
G24003308036053,1128
G24003308036054,2774
G24003308036061,1066
G24003308036062,1552
G24003308036063,1573
G24003308036064,1490
G24003308036071,1326
G24003308036072,908
G24003308036073,1371
G24003308036081,1104
G24003308036082,1300
G24003308036083,1436
G24003308036084,2217
G24003308036101,1596
G24003308036102,1991
G24003308036121,1396
G24003308036122,1624
G24003308036131,1930
G24003308036132,1854
G24003308036133,2127
G24003308037001,1308
G24003308037002,1366
G24003308038011,2423
G24003308038031,2084
G24003308038032,1612
G24003308038033,2192
G24003308039001,1091
G24003308039002,730
G24003308039003,1843
G24003308040011,1969
G24003308040012,978
G24003308040013,2096
G24003308040021,2218
G24003308040022,2169
G24003308041011,1497
G24003308041012,2067
G24003308041021,1396
G24003308041022,2371
G24003308041023,2136
G24003308042001,705
G24003308042002,993
G24003308042003,1380
G24003308043001,1184
G24003308043002,2448
G24003308044001,1398
G24003308044002,1269
G24003308046001,1788
G24003308046002,1567
G24003308047001,1372
G24003308047002,1582
G24003308047003,503
G24003308048011,1631
G24003308048012,1089
G24003308048021,1632
G24003308048022,1169
G24003308049001,1578
G24003308049002,1394
G24003308049003,983
G24003308050001,854
G24003308050002,2287
G24003308050003,3232
G24003308051011,2181
G24003308051012,1773
G24003308052011,2200
G24003308052012,2851
G24003308052021,971
G24003308052022,2760
G24003308055001,2009
G24003308055002,1416
G24003308056011,1761
G24003308056012,1475
G24003308056013,3553
G24003308056021,3728
G24003308056022,1793
G24003308057001,1946
G24003308057002,1547
G24003308057003,2205
G24003308058011,3136
G24003308058012,1379
G24003308058021,2468
G24003308058022,1617
G24003308059041,2532
G24003308059042,869
G24003308059061,1609
G24003308059062,1719
G24003308059071,1009
G24003308059072,2273
G24003308059073,739
G24003308059081,1642
G24003308059082,511
G24003308059091,1558
G24003308059092,3141
G24003308060001,2326
G24003308060002,2621
