GISJOIN,AJWME001
G24000307504004,467
G24000307508011,974
G24000307508012,1638
G24000307508013,1833
G24000307508014,1818
G24000307508031,2677
G24000307508032,1370
G24000307508033,1305
G24000307508034,1692
G24000307508035,626
G24000307508041,1308
G24000307508042,2214
G24000307509001,819
G24000307509002,867
G24000307509003,1372
G24000307510001,1328
G24000307510002,1136
G24000307510003,1529
G24000307511021,3022
G24000307511022,1158
G24000307511031,1361
G24000307511032,1022
G24000307511033,2193
G24000307511034,775
G24000307512001,1369
G24000307512002,2468
G24000307512003,910
G24000307514001,826
G24000307514002,1046
G24000307514003,2112
G24000307515001,1719
G24000307515002,2685
G24000307515003,944
G24000307515004,1564
G24000307516001,1831
G24000307516002,1741
G24000307516003,1657
G24000307517001,1625
G24000307517002,1131
G24000309800001,6
G24000309900000,0
G24000504001001,1461
G24000504001002,1274
G24000504001003,1827
G24000504002001,1354
G24000504002002,1088
G24000504004001,901
G24000504004002,1346
G24000504004003,1255
G24000504004004,571
G24000504004005,1611
G24000504005001,2686
G24000504006001,673
G24000504006002,1419
G24000504006003,957
G24000504007011,1367
G24000504007012,1542
G24000504007021,2002
G24000504008001,1857
G24000504008002,923
G24000504009001,1992
G24000504010001,1129
G24000504010002,1378
G24000504011011,1858
G24000504011012,1502
G24000504011013,1840
G24000504011014,477
G24000504011021,910
G24000504012001,1319
G24000504012002,1742
G24000504013011,1646
G24000504013012,927
G24000504013013,1340
G24000504013021,2121
G24000504013022,624
G24000504014001,1645
G24000504015031,1724
G24000504015032,1245
G24000504015033,1108
G24000504015034,803
G24000504015035,1460
G24000504015041,2049
G24000504015042,2572
G24000504015043,1759
G24000504015051,1073
G24000504015052,1813
G24000504015053,1442
G24000504015061,1266
G24000504015062,2382
G24000504015063,1455
G24000504015071,1264
G24000504015072,2694
G24000504015073,809
G24000504015074,1175
G24000504022011,1856
G24000504022012,1648
G24000504022021,1551
G24000504023021,2169
G24000504023022,3383
G24000504023031,1167
G24000504023032,1233
G24000504023033,1618
G24000504023034,1788
G24000504023035,1297
G24000504023041,1569
G24000504023042,932
G24000504023043,1066
G24000504023051,816
G24000504023052,1229
G24000504023061,2778
G24000504023062,1244
G24000504023071,1676
G24000504023072,2147
G24000504023073,2438
G24000504024031,864
G24000504024032,1170
G24000504024041,1694
G24000504024042,1914
G24000504024043,1760
G24000504024051,892
G24000504024052,2766
G24000504024061,909
G24000504024062,1800
G24000504024063,2989
G24000504024071,674
G24000504024072,664
G24000504025031,2456
G24000504025032,1177
G24000504025033,1512
G24000504025041,2346
G24000504025042,2250
G24000504025051,1144
G24000504025052,2542
G24000504025061,2105
G24000504025062,2408
G24000504025091,3447
G24000504025092,3704
G24000504025093,2968
G24000504026021,1111
G24000504026022,1136
G24000504026031,2316
G24000504026032,2053
G24000504026033,1935
G24000504026041,2087
G24000504026042,3262
G24000504026043,776
G24000504031001,1147
G24000504031002,1306
G24000504032011,2684
G24000504032012,733
G24000504032021,2103
G24000504033001,805
G24000504033002,1713
G24000504034011,2204
G24000504034012,1300
G24000504034021,1816
G24000504034022,1521
G24000504034023,651
G24000504034024,1634
G24000504035001,1558
G24000504035002,2367
G24000504035003,1077
G24000504036011,1079
G24000504036012,996
G24000504036013,2627
G24000504036021,2590
G24000504036022,3177
G24000504037011,2137
G24000504037012,737
G24000504037013,1055
G24000504037014,911
G24000504037015,2232
G24000504037021,2312
G24000504037022,2415
G24000504038011,1648
G24000504038021,1547
G24000504038022,1299
G24000504038031,2419
G24000504038032,1023
G24000504041011,1683
G24000504041012,4495
G24000504041021,3151
G24000504041022,2882
G24000504042011,3251
G24000504042012,1211
G24000504042013,1500
G24000504042021,2773
G24000504042022,1352
G24000504042023,3046
G24000504042024,1580
G24000504044021,1123
G24000504044022,2626
G24000504044023,2739
G24000504044031,1409
G24000504044032,3682
G24000504044041,2455
G24000504044042,2513
G24000504045011,1845
G24000504045012,973
G24000504045013,979
G24000504045014,3210
G24000504045021,1664
G24000504045022,698
G24000504045023,1543
G24000504046001,1888
G24000504046002,918
G24000504048001,1124
G24000504048002,830
G24000504049001,2237
