GISJOIN,Shape_Area,fld_area,perc_fld_area
G24000307301003,18767129.5795,496.697998,2.6466380801385888e-05
G24000307501021,657493.7461439999,11306.0996094,0.0171957523181122
G24000307502012,2469091.74669,1255.5699463,0.0005085149014746
G24000307503001,1989940.4733800003,8326.9804688,0.0041845374674229
G24000307512003,18490286.2786,36346.7001953,0.0019657186291034
G24000504001002,419841.12695699994,4743.4300537,0.0112981548236598
G24000504001003,460366.485637,15016.016616799998,0.0326175277421044
G24000504005001,5796995.940649998,89461.9804687,0.0154324725055213
G24000504006001,164545.711195,14.3269997,8.707002811529584e-05
G24000504006002,311779.0439039999,38911.7761841,0.1248056177761625
G24000504006003,492545.611848,39777.3007813,0.0807586136684034
G24000504007012,949882.550435,34258.69921879999,0.0360662475619866
G24000504008001,927377.264709,1605.3599854,0.0017310754171914
G24000504008002,545498.1130890001,4271.3798828,0.0078302376860891
G24000504010002,767552.7567239999,6460.1601563,0.0084165682419963
G24000504011011,665792.9602670001,7824.620117199999,0.0117523323077223
G24000504011013,868279.091339,16533.5,0.0190416885134285
G24000504011014,518509.8351989999,2810.8200684,0.0054209580563138
G24000504011021,3464317.35904,461899.1651917,0.1333304998707443
G24000504012001,846644.5406039999,6137.6620232999985,0.0072493965636645
G24000504012002,1108551.5815,67588.4370118,0.0609700424768191
G24000504013011,509788.25140000007,12635.2566719,0.0247853037750489
G24000504014001,2871557.55078,147701.7385254,0.0514361059855059
G24000504015033,937979.381185,19184.6201172,0.0204531362863894
G24000504015034,1709860.70441,37825.1992188,0.0221218015720478
G24000504015061,2003782.68335,1761.4300537,0.0008790524383388
G24000504015071,1634356.67722,92231.8839435,0.0564331429173613
G24000504015072,667271.1640049999,6227.0,0.0093320382116097
G24000504022011,9560620.16939,148272.3984375,0.0155086590420378
G24000504022012,32919004.6235,216222.7529297,0.0065683259686213
G24000504022021,20888856.09319999,492180.2700195,0.0235618584293718
G24000504023022,1784547.49244,79249.6015625,0.0444087937688576
G24000504023041,469728.6929450001,867.026001,0.0018458016596008
G24000504023051,773773.2445879999,149962.317749,0.1938065431932172
G24000504023052,836549.1857049998,213845.4011231,0.2556280070285195
G24000504023062,405119.773126,66325.8984375,0.1637192327733442
G24000504023071,376445.811365,7299.009765600001,0.0193892707668432
G24000504023072,1293511.44827,57708.30078130001,0.0446136760973253
G24000504023073,565473.522238,19045.0,0.0336797378675216
G24000504024031,467686.73999,66741.69091800001,0.142705972205727
G24000504024032,1652320.30965,397559.6369324,0.240606881492979
G24000504024042,583249.5383469999,12333.4003906,0.0211460096917596
G24000504024051,343456.849306,3459.6800537000004,0.0100731141646781
G24000504024052,1069162.55634,6457.3503418,0.0060396338269692
G24000504024071,2114660.53209,7950.990234299999,0.0037599369324974
G24000504024072,4376425.87731,156876.0,0.0358456887875877
G24000504025032,3614515.0955,111297.0,0.0307916821646595
G24000504025033,219641.928835,16241.799804700002,0.0739467181464301
G24000504025041,2396732.1822099993,20698.9003906,0.0086363009368505
G24000504025042,5576071.39538,284830.0,0.0510807663323667
G24000504025051,514371.702763,10662.4003906,0.0207289793223962
G24000504025052,740273.4663879997,8697.0595703,0.0117484415762398
G24000504025061,933043.953219,44768.6992188,0.0479813400690804
G24000504025062,1359483.2323,72113.0,0.0530444203258011
G24000504025091,2176603.04459,70148.796875,0.0322285669173148
G24000504025092,679682.5750340002,33192.30078129999,0.0488350032802291
G24000504025093,832163.2705429997,72716.296875,0.087382247509616
G24000504026032,3511385.8854800006,223851.9381104,0.0637503098238375
G24000504026033,1952264.53151,254144.6992188,0.130179437835829
G24000504026041,1602896.2405,104531.8432617,0.0652143542548286
G24000504026042,1538925.30214,129540.0,0.0841756255614643
G24000504026043,488538.931908,79889.1015625,0.1635265817004415
G24000504031001,1144447.6142,149614.9346618,0.1307311342218009
G24000504031002,769152.361816,106794.8233032,0.1388474229618863
G24000504032011,1326934.92202,8492.5703125,0.0064001407842757
G24000504032012,437596.748258,16938.6992188,0.0387084668390022
G24000504032021,1165727.6032900002,22175.0646325,0.0190225096925867
G24000504033002,1153192.64193,233728.4234314,0.2026794266049328
G24000504034011,1017056.6557600003,11520.7998047,0.0113275890182253
G24000504034012,796665.947644,2413.9540596,0.0030300705919951
G24000504035001,1069902.0127200002,8969.5498047,0.0083835245639895
G24000504036013,1719591.64349,61904.3598633,0.0359994537643029
G24000504036021,1381303.7675000003,6488.2700195,0.0046972072126053
G24000504037013,1889166.36035,30174.699218799997,0.0159724944568723
G24000504037014,5233647.726059999,64954.5,0.0124109423101923
G24000504037015,2216843.3619,124708.0,0.0562547639329447
G24000504037021,3571316.7456899993,340002.540039,0.0952036921534131
G24000504037022,2761614.8418099997,415719.3786239,0.1505348871718229
G24000504038011,11267826.8774,923093.0,0.0819228951637034
G24000504038021,4249275.510899999,129675.0,0.0305169668729092
G24000504038022,5433306.8852,388448.0,0.071493844947008
G24000504038031,3487902.84638,12615.7001953,0.0036169872702714
G24000504038032,2288326.5670899996,206297.0,0.0901519053123357
G24000504041011,8358873.504999997,150050.621994,0.0179510578673364
G24000504041012,4489752.3812299995,431144.0,0.0960284584518411
G24000504041022,2385543.52647,143397.417717,0.0601110045261642
G24000504042011,587932.1906849998,22459.5,0.0382008339666389
G24000504042012,702014.1785769999,46101.8984375,0.0656708936149262
G24000504042013,1112908.39412,159526.9496612,0.1433423905364118
G24000504042021,2482846.3732999996,228068.0913086,0.0918575123137684
G24000504042023,921215.2509630002,195076.7402345,0.2117602156831151
G24000504042024,2147929.8408799996,75944.2979739,0.035356973271895
G24000504044021,5158760.45958,102330.4980469,0.0198362569552669
G24000504044022,1330441.00712,813.1770019999999,0.0006112086125188
G24000504044023,4392861.41348,34000.4774056,0.0077399385515021
G24000504044031,1187238.0581400003,28349.5,0.0238785303466552
G24000504044032,1114797.6703100002,4655.9501953,0.0041764979594954
G24000504044042,2449881.9338299995,50263.6015625,0.0205167444473215
G24000504045014,649255.52899,126823.9898681,0.1953375584885521
G24000504045021,482089.398952,5281.2001953,0.0109548150338519
G24000504045023,304829.51094,25056.4003906,0.082198079553826
G24000504046001,24486974.8274,455175.4960938,0.0185884740480263
G24000504046002,38993690.48099999,2570140.0,0.0659116890013865
G24000504048001,14994459.798099998,218630.5,0.0145807520206698
G24000504048002,8613759.09404,76157.796875,0.0088414124476379
G24000504049001,5078524.20315,27174.237915,0.0053508139034062
G24000504049002,12262106.907900002,636339.0,0.051894752246046
G24000504049003,8726460.45934,231181.0,0.0264919552523228
G24000504050001,68678795.8814,2260887.4743117997,0.0329197308324403
G24000504050002,55533749.9718,2148297.0,0.0386845296975425
G24000504060001,37123239.5273,496521.5,0.013374950740354
G24000504060002,18870470.6512,826637.0,0.0438058496409273
G24000504060003,29065768.4351,876119.0,0.0301426401973943
G24000504060004,10713618.0394,425289.0,0.0396961137158309
G24000504070011,28773111.4781,225397.0913086,0.0078336015720842
G24000504070012,21343826.3135,1055753.0200195,0.0494640934812955
G24000504070021,18499140.3886,1089410.0,0.0588897633682126
G24000504070022,45882436.8941,2551798.2149964,0.055616013179207
G24000504070023,32983371.62840001,1388915.6015625,0.0421095701558474
G24000504081001,11539576.4721,1001240.0,0.0867657493687714
G24000504081002,8096329.017929999,494987.796875,0.0611373124509648
G24000504081003,1635107.5987900004,43335.8007813,0.0265033327552076
G24000504081004,5002134.68,66163.9235229,0.0132271375633772
G24000504082001,23673394.0174,1864858.6992188,0.0787744544718904
G24000504082002,19842422.7229,435969.0,0.0219715609373068
G24000504083021,5845128.459200001,88559.8984375,0.015151061102534
G24000504083022,5110211.106570001,107673.0,0.0210701667219909
G24000504083031,9071106.49822,249675.5976563,0.0275242714552291
G24000504083032,5586803.394950001,167490.0,0.0299795765412824
G24000504083041,4019086.49298,114368.0,0.0284562176503945
G24000504083042,8509681.68782,383478.751709,0.0450638185747743
G24000504083043,4141873.9909299994,203167.0,0.0490519509876208
