GISJOIN,MedianSalesPrice,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,per_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504904001023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504904001014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504914022000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504913002011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504907031008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504906012015,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504911001008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504213001010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504212001004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504205002020,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504205001039,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504209001021,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504204011010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504204011007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504204021013,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203021004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203022002,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203031030,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203031018,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203031023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203011032,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203011008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203011001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504204012008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504202001004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011012,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504213001022,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011062,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011028,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011073,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504206001026,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504518022056,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504524001041,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504923002041,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000509800001020,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505033001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504512001079,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504044042046,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504044042041,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504041022019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504041021015,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504042013010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504046002041,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504042012007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504042021021,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504042024019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504042024039,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504041021016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504042024048,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504045013004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504049003022,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504042011013,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504044021000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504044023019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504045022006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504046001056,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504044042029,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504044042000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504041022030,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504046001030,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504046001051,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504048001037,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504048001067,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504048001014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015072016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015074008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015041004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011014001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015071022,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015041028,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015042016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504014001001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015053014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504014001021,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504010002003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504010002008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504005001031,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015071041,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015051017,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011011013,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011013005,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011013018,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021084,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011022,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504211012043,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504209003001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504209002027,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504201003021,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504211022011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504211022031,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011077,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011033,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504211022039,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504209001026,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011034,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504209001027,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504213003043,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504213003030,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504213001008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504212001016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504210001035,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504202002019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504211012026,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504211022025,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504210001036,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504202002023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504202002004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504211012029,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504007012040,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504001002012,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504001001002,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504013012016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015072011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504001002003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504001002014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504002001002,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015072015,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015071050,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021033,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021037,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021043,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021021,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504011021051,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504034022013,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504032011000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504032011017,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504032011023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504031002011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504032011030,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504031001014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504032021019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504032021018,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504034024023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504034022007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504032011033,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504032021012,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504034024009,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504038011024,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504037014006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504037022030,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504037011029,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504034021004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504037021026,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504037022006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504083042007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504081001019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504085072007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504085032010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504087033009,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504087034010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504084001177,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504087031012,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504081004008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504089002011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504085022025,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504085073006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504085021039,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504087031000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504086014016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504085052058,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504085071010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504101003042,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504102002030,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504102002026,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504102002020,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504101003064,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504101003070,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504112023003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504112023026,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504111011011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504112013016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504112011016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504113021100,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504113033000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504113092032,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504113062009,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207021041,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203011009,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504206001000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203011006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504202002014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203011029,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504203011000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504210001026,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504209003018,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504207011011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000509801001004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504308001004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304001007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504309003033,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307002034,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504521001034,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504519002066,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504519002036,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505011002,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505043001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505032001,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505043013,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505032005,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505032023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505013006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504502001028,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504508002014,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505042004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504509001003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505011019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504503001013,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504515002000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504515002002,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504503001003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504515003016,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504923002031,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504504001012,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504505011008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504515003009,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504504001010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504518022041,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504518012004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504513001002,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504013021020,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504007021023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504006001012,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504007021018,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504007021034,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504013021010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504007021006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504006003000,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504002002019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504005001003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504004004007,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504004004008,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504004002024,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504001001004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504004005030,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504015071012,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504001003006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504001003005,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504001003011,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504925001003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504012002023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
