GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_fld_area,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504005001023,88,392500,2432.511364,29.875,2,2.375,0,0.277944568,0.869267423,0.6563147,-0.66242515,1,92861.11369
G24000504005001027,151,3.00E+05,2567.245033,23.73509934,1.963576159,2.516556291,0,0.299219859,0.906414436,0.668833039,-0.627671809,1,-25545.90507
G24000504006001003,41,86900,1255.658537,71.2195122,2,1.804878049,0,0.092112129,0.619128991,0.6563147,-0.80239521,1,-41256.11118
G24000504006001007,55,190000,1769.618182,89.27272727,2.054545455,2,0,0.173269579,0.509905235,0.637568229,-0.754491018,1,18277.37619
G24000504006001008,60,98200,1170,79.18333333,2,1.266666667,0,0.078586109,0.570947077,0.6563147,-0.934530938,1,14240.38367
G24000504006001010,31,97000,1169.032258,79,2,1.838709677,0,0.078433297,0.572056262,0.6563147,-0.794089241,1,-19280.42047
G24000504006001015,33,117000,1161.212121,79,2,1.545454545,0,0.077198448,0.572056262,0.6563147,-0.86608601,1,17985.47788
G24000504006002002,161,158000,1484.913043,80.55900621,1.968944099,1.714285714,0,0.128312853,0.562624118,0.666988156,-0.824636441,1,19987.65727
G24000504006002003,49,105000,1211.306122,75,2,1.06122449,0,0.085108605,0.596256662,0.6563147,-0.984968838,1,25705.48706
G24000504006002005,117,120000,1390.555556,86.7008547,1.957264957,1.538461538,0.197217719,0.113413214,0.525465321,0.671002106,-0.867802856,0.802782281,11067.65616
G24000504006002007,162,148550,1244.876543,85.77777778,1.87345679,1.648148148,0,0.090409585,0.531050028,0.699805741,-0.840873808,1,37871.08377
G24000504006002008,46,118669.5,1141.913043,74.60869565,2,1.043478261,0,0.074151003,0.598624092,0.6563147,-0.989325696,1,46483.17071
G24000504006003001,35,123750,1348.857143,91.34285714,1.571428571,1.542857143,0,0.106828773,0.497380742,0.8036084,-0.866723695,1,5917.983708
G24000504006003002,89,150000,1261.022472,92.20224719,1.606741573,1.483146067,0,0.092959128,0.492181346,0.79147184,-0.881383301,1,45170.6674
G24000504006003003,202,204000,1512.039604,79.6039604,1.75,1.811881188,0,0.132596307,0.568402241,0.742236025,-0.800675876,1,51721.73352
G24000504006003004,37,235000,1483.351351,63,1.689189189,1.783783784,0,0.128066252,0.668857861,0.763135807,-0.807574041,1,73040.74028
G24000504006003005,35,230000,1422.714286,77.77142857,1.914285714,1.457142857,0,0.118491279,0.579489242,0.68577344,-0.887767322,1,108768.5973
G24000504006003006,49,218000,1414.877551,68.97959184,1.724489796,1.775510204,0,0.11725381,0.632680733,0.751003507,-0.809605279,1,68170.72045
G24000504006003008,30,249200,1531.733333,79.4,2,1.633333333,0,0.13570607,0.569636222,0.6563147,-0.844510978,1,111360.9512
G24000504006003010,30,197400,2329.1,81.6,1.983333333,2.566666667,0,0.261615266,0.556326002,0.662042788,-0.615369261,1,-65401.57274
G24000504007011002,42,160000,1329.142857,71,2,2,0,0.103715764,0.620457061,0.6563147,-0.754491018,1,13896.21602
G24000504007011003,33,220000,1311.151515,71,2,1.939393939,0,0.100874818,0.620457061,0.6563147,-0.76937035,1,78974.40635
G24000504007011005,42,191250,1331.238095,71,2,1.952380952,0,0.104046615,0.620457061,0.6563147,-0.766181922,1,47639.58549
G24000504007011006,42,195700,1396.666667,70,2,1.857142857,0,0.114378197,0.626507161,0.6563147,-0.78956373,1,50684.69859
G24000504007011007,42,168950,1277.52381,68.83333333,2,1.69047619,0,0.095564793,0.633565611,0.6563147,-0.830481893,1,43454.24378
G24000504007011012,34,197250,1418.588235,69.11764706,2,1.941176471,0,0.11783975,0.631845485,0.6563147,-0.768932723,1,44814.98408
G24000504007011016,46,207000,1321.130435,71,2,1.826086957,0,0.102450552,0.620457061,0.6563147,-0.797188232,1,71446.81887
G24000504007011017,39,169000,1321.333333,71,2,2,0,0.102482591,0.620457061,0.6563147,-0.754491018,1,23616.30803
