GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_fld_area,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504113072006,33,145000,1220,34.84848485,2,1.363636364,0,0.086481423,0.839177342,0.6563147,-0.910724007,1,17927.50496
G24000504113072007,45,120000,1220,34.8,2,1.177777778,0,0.086481423,0.839470681,0.6563147,-0.956353959,1,3377.12546
G24000504113081003,154,499500,3287.357143,23.96753247,1.912337662,2.487012987,0,0.412930076,0.905008192,0.686442957,-0.634924955,1,108096.5967
G24000504113081007,186,165000,1625.301075,35.22580645,1.841397849,1.61827957,0,0.150481003,0.836894509,0.710823928,-0.848206812,1,-17547.56338
G24000504113081011,39,141000,1463.692308,37.38461538,1.974358974,1.794871795,0,0.124961966,0.823833499,0.665127143,-0.804851835,1,-31632.06284
G24000504113082000,64,191500,1344.71875,28,2,1.921875,0,0.106175295,0.88061136,0.6563147,-0.773671407,1,16330.47601
G24000504113082002,45,249000,1965.022222,38.82222222,1.933333333,1.977777778,0,0.204125102,0.815135834,0.679227053,-0.759946773,1,19854.39272
G24000504113082008,163,2.00E+05,1616.680982,31.01840491,1.972392638,1.944785276,0,0.149119836,0.862349709,0.665802944,-0.768046729,1,10.56001668
G24000504113082009,76,189500,1343.710526,29.72368421,2,2.039473684,0,0.10601609,0.870182899,0.6563147,-0.744799874,1,9073.00693
G24000504113083002,94,191500,1447.574468,39.08510638,1.968085106,1.819148936,0,0.122416858,0.813545359,0.66728338,-0.798891579,1,20092.45145
G24000504113083003,30,225000,1849.133333,43.13333333,1.9,1.766666667,0,0.18582552,0.789053181,0.69068323,-0.811776447,1,20818.07731
G24000504113083005,45,214000,1803.022222,37.44444444,1.844444444,2.111111111,0,0.178544286,0.823471527,0.709776858,-0.727212242,1,-11008.99844
G24000504113083006,169,205700,1811.325444,31.14201183,1.985207101,2.153846154,0,0.179855417,0.861601875,0.661398802,-0.716720405,1,-23615.0212
G24000504113083009,40,172500,1651.725,45.025,1.975,1.775,0,0.154653507,0.777608408,0.664906832,-0.809730539,1,-10640.13644
G24000504113083013,75,230000,1767.64,43.77333333,1.986666667,1.88,0,0.172957212,0.785181117,0.66089717,-0.783952096,1,29610.84641
G24000504113091000,322,275000,2434.093168,34.15217391,1.594720497,2.170807453,0,0.278194345,0.843390093,0.795603307,-0.712556254,1,-20345.7388
G24000504113091018,241,436000,2626.701245,21.2406639,1.89626556,2.290456432,0,0.308608368,0.92150602,0.691966702,-0.683181355,1,114164.0875
G24000504113092000,125,260600,2635.32,24.08,1.924,2.008,0,0.309969323,0.904327752,0.682434783,-0.752526946,1,-43276.92748
G24000504113092001,197,198700,2344.923858,24.06598985,1.946700508,2.203045685,0,0.264113952,0.904412515,0.674632952,-0.704641478,1,-88839.77661
G24000504113092004,177,183225,1722.819209,21.10734463,2,2.118644068,0,0.165879728,0.922312615,0.6563147,-0.725362834,1,-43044.66452
G24000504113092005,67,179150,1522.835821,21.20895522,2,2.104477612,0,0.134301097,0.92169786,0.6563147,-0.728840826,1,-27804.86937
G24000504113092008,170,279125,2344.488235,20.37647059,2.364705882,1.988235294,0,0.264045164,0.926734476,0.530970649,-0.757379359,1,11585.88462
G24000504113092017,43,281990,2738.27907,20.30232558,2,2.162790698,0,0.326227206,0.92718306,0.6563147,-0.714524439,1,-41002.51228
G24000504113092024,84,519587.5,3253.464286,12.80952381,1.970238095,2.642857143,0,0.407578181,0.97251526,0.666543429,-0.596663815,1,115670.4919
G24000504113092030,158,173500,1452.537975,37.66455696,1.873417722,1.759493671,0,0.123200627,0.822139825,0.699819168,-0.813537482,1,1543.610511
G24000504113093004,141,424900,3018.255319,17.69503546,1.957446809,2.524822695,0,0.370437211,0.942957426,0.670939606,-0.625642332,1,52646.01833
G24000504113093007,99,445000,3046.414141,16.68686869,2,2.353535354,0,0.374883665,0.949056936,0.6563147,-0.667694913,1,80140.20242
G24000504113093008,42,403903,2798.690476,17.76190476,1.880952381,2.404761905,0,0.335766546,0.94255286,0.697229616,-0.655118335,1,56779.80884
G24000504113093009,73,475000,3080.041096,16.75342466,2,2.438356164,0,0.380193572,0.948654266,0.6563147,-0.646870642,1,102303.7438
G24000504113093014,70,285287.5,2574.785714,25,1.814285714,2.171428571,0,0.30041058,0.89876166,0.72014197,-0.712403764,1,-24322.22057
G24000504113093020,180,485132.5,3211.277778,14.72777778,1.997222222,3.011111111,0,0.400916667,0.960909632,0.657269381,-0.506254158,1,66442.12077
G24000504113093023,36,491157.5,3517.611111,18.19444444,1.958333333,2.944444444,0,0.449288621,0.939935952,0.670634921,-0.522621424,1,49579.85012
G24000504113093024,34,585401,3506.411765,20.44117647,1.955882353,3,0,0.447520174,0.926342999,0.671477287,-0.508982036,1,143333.5148
G24000504113093026,139,440000,2957.395683,20.89928058,1.960431655,2.395683453,0,0.360827093,0.923571423,0.669913758,-0.657347176,1,83106.40352
G24000504113093032,75,480000,3398.84,14.8,2,3.253333333,0,0.430533918,0.96047268,0.6563147,-0.446786427,1,30473.61365
G24000504113093034,40,512225,3385.6,12.925,2,3.025,0,0.428443239,0.971816618,0.6563147,-0.502844311,1,75404.5416
G24000504114041001,94,224450,1943.808511,31.4787234,2.010638298,2.20212766,0,0.200775324,0.859564736,0.652658473,-0.704866862,1,-18909.64346
G24000504114041002,188,190450,1714.223404,43.32978723,1.840425532,1.872340426,0,0.164522396,0.787864615,0.711158099,-0.78583259,1,-8617.143583
G24000504114041003,45,178000,1347.733333,34,2,2.155555556,0,0.106651317,0.844310761,0.6563147,-0.716300732,1,-6160.94259
G24000504114041004,36,190500,1908.916667,39.61111111,1.902777778,1.75,0,0.195265683,0.810362977,0.689728548,-0.815868263,1,-20807.91977
G24000504114041007,61,248340,2050.622951,39.75409836,1.868852459,2.196721311,0,0.217641994,0.80949789,0.701388182,-0.706194169,1,-1990.249359
G24000504114041011,133,181000,1707.954887,46.02255639,1.703007519,1.909774436,0,0.163532558,0.771573092,0.75838665,-0.776642204,1,-21076.34655
G24000504114041012,107,230000,2116.682243,31.12149533,1.953271028,2.074766355,0,0.22807317,0.861726002,0.672374761,-0.736135206,1,-23833.90394
G24000504114041013,298,161750,1696.704698,37.22147651,1.887583893,1.768456376,0,0.161756083,0.824820506,0.694950463,-0.811337057,1,-33197.11891
G24000504114041016,60,148150,1432.866667,35.63333333,2,1.383333333,0,0.120094404,0.834428931,0.6563147,-0.905888224,1,923.2197957
G24000504114042000,44,172500,1343.363636,60.61363636,1.409090909,1.431818182,0,0.105961314,0.6832956,0.859401468,-0.893984758,1,34431.42659
G24000504114042003,105,139900,1408.114286,62.95238095,1.50952381,1.561904762,0,0.116185848,0.669145961,0.824884157,-0.862047334,1,-7191.270979
G24000504114042004,40,170500,1543.475,58.3,1.5625,1.775,0,0.137560153,0.697293331,0.806677019,-0.809730539,1,-3218.941068
G24000504114042009,70,218900,1725.557143,46.11428571,1.607142857,1.728571429,0,0.166312065,0.771018121,0.791333925,-0.82112917,1,23063.28759
G24000504114061000,298,259950,2556.855705,34.55704698,1.781879195,2.154362416,0.005392968,0.297579319,0.840940571,0.731279614,-0.716593658,0.994607032,-40575.16331
G24000504114061007,99,205000,1417.818182,51.67676768,1.212121212,1.585858586,0,0.117718154,0.737364549,0.927097058,-0.856166455,1,39726.89558
G24000504114062001,35,170000,1334.6,60.74285714,1.457142857,1.2,0,0.104577481,0.682513801,0.84288672,-0.950898204,1,47131.86013
G24000504114062003,116,239480,1799.232759,40.31896552,1.745689655,2.086206897,0,0.177945906,0.806080387,0.743717427,-0.733326451,1,15865.15522
G24000504114062015,95,210000,1724.873684,51.22105263,1.568421053,1.831578947,0,0.166204142,0.74012167,0.80464204,-0.795839899,1,11238.62069
G24000504114062019,33,185000,1331.212121,56.33333333,1.363636364,1.454545455,0,0.104042514,0.709191861,0.875023527,-0.888405008,1,42429.01538
G24000504114063000,109,239000,1724.311927,38.39449541,1.683486239,1.972477064,0,0.166115437,0.817723624,0.765095827,-0.761248146,1,25700.00636
G24000504114063002,30,243000,1520.966667,42.56666667,1.5,1.8,0,0.134005946,0.792481571,0.82815735,-0.803592814,1,56640.45787
G24000504114063008,34,239000,2028.882353,32.26470588,1.75,2.147058824,0,0.214209017,0.854809463,0.742236025,-0.718386756,1,-15114.88704
G24000504114063009,309,165000,1383.05178,29.58899676,1.995145631,1.86407767,0,0.112228321,0.870997771,0.657983075,-0.787861171,1,-9382.39515
G24000504114071001,150,166025,1655.72,52.96666667,1.626666667,1.593333333,0,0.155284342,0.729560531,0.784623879,-0.854331337,1,-10142.39145
G24000504114071016,49,164900,1388.346939,70.14285714,1.62244898,1.306122449,0,0.11306446,0.625642861,0.786073436,-0.924844189,1,42280.35201
G24000504114071019,96,154300,1513.208333,62.51041667,1.666666667,1.604166667,0,0.132780857,0.671819889,0.770876467,-0.851671657,1,-1214.041666
G24000504114071022,32,189000,1374.375,71.5625,1.53125,1.40625,0,0.110858203,0.61705388,0.817417184,-0.900261976,1,60766.84473
G24000504114071023,35,198000,1654.514286,57.25714286,1.714285714,1.4,0,0.155093952,0.703602721,0.7545105,-0.901796407,1,38267.7014
G24000504114071026,42,209999.5,1528.761905,61.33333333,1.928571429,1.261904762,0,0.135236863,0.678941361,0.68086365,-0.935700029,1,78119.40694
G24000504114072019,92,139500,1184.315217,36.83695652,1.945652174,1.423913043,0,0.080846572,0.82714689,0.674993249,-0.89592554,1,12421.80863
G24000504114072020,42,142010,1538.952381,64.97619048,1.714285714,1.642857143,0,0.136846003,0.656901711,0.7545105,-0.842172797,1,-15017.09221
G24000504114073000,78,147450,1136.897436,35.14102564,2,1.692307692,0,0.073359007,0.837407441,0.6563147,-0.830032243,1,9715.158913
G24000504114073002,202,135000,1239.70297,37.72277228,1.99009901,1.391089109,0,0.089592645,0.821787616,0.659717525,-0.903984111,1,6452.576686
G24000504114073005,104,159750,1840.557692,41.22115385,1.865384615,1.788461538,0,0.184471373,0.800622058,0.702580029,-0.80642561,1,-47172.46618
G24000504114073010,71,155000,1164.507042,36.30985915,2,1.464788732,0,0.077718737,0.830335882,0.6563147,-0.885890191,1,28426.33628
G24000504114073011,42,147250,1126.666667,35.85714286,2,1.880952381,0,0.071743504,0.833074861,0.6563147,-0.783718278,1,349.1199746
G24000504114073013,48,128000,1240,37,2,1.333333333,0,0.089639548,0.826160461,0.6563147,-0.918163673,1,2395.986997
G24000504114074011,95,112950,1121.684211,44.38947368,2,1.073684211,0,0.070956743,0.781453406,0.6563147,-0.981909864,1,18409.90075
G24000504114074013,49,85000,1114.77551,45,2,1,0,0.069865816,0.777759661,0.6563147,-1,1,-4291.090654
G24000504114074017,30,122900,1096,45,2,1,0,0.066901045,0.777759661,0.6563147,-1,1,35340.141
G24000504114074018,74,104500,1117.621622,44.75675676,2,1.121621622,0,0.070315235,0.779231307,0.6563147,-0.970140799,1,7903.617731
G24000504114074019,53,134000,1083.169811,46.41509434,2,1.188679245,0.126715663,0.064875078,0.769198199,0.6563147,-0.953677551,0.873284337,42003.27766
G24000504114074023,91,137200,1135.120879,44,2,1.076923077,0,0.073078477,0.783809761,0.6563147,-0.981114694,1,40948.03958
G24000504114074024,30,126000,1088,43.5,2,1.033333333,0,0.065637795,0.786834811,0.6563147,-0.991816367,1,36179.62474
G24000504114074026,58,133550,1122.206897,44.20689655,2,1.275862069,0,0.071039278,0.782558016,0.6563147,-0.932273384,1,27419.23362
G24000504114074027,61,130000,1115.016393,44.09836066,2,1.163934426,0,0.069903853,0.783214669,0.6563147,-0.959752626,1,30766.10127
G24000504114075000,36,124109.5,1113.333333,47.66666667,2,1.222222222,0,0.069638087,0.761626061,0.6563147,-0.945442448,1,24400.8871
G24000504114075001,153,137050,1253.75817,27.52941176,2,1.503267974,0,0.091812049,0.883458466,0.6563147,-0.876443192,1,-6466.028977
G24000504114081001,115,120000,1131.130435,45.99130435,2,1.191304348,0,0.072448361,0.77176217,0.6563147,-0.953033064,1,19146.46199
G24000504114081003,97,137000,1220.907216,32.22680412,2,1.505154639,0,0.086624678,0.855038773,0.6563147,-0.875979999,1,-93.59038439
G24000504114082010,100,139500,1272.57,39.8,1.93,1.51,0,0.094782555,0.809220181,0.680372671,-0.874790419,1,1238.33379
G24000504114082013,37,188000,1580.540541,46.08108108,1.864864865,1.756756757,0,0.143413034,0.771219012,0.702758659,-0.814209419,1,10449.35052
G24000504114083003,406,165000,1295.507389,33.42364532,1.977832512,1.889162562,0,0.098404513,0.847797764,0.663933339,-0.781702605,1,-307.0567929
G24000504114083004,33,178600,1363.272727,30.42424242,2,2.151515152,0,0.109105084,0.865944451,0.6563147,-0.717292687,1,-9429.951758
G24000504114083006,56,116200,1136.785714,31.39285714,2,1.589285714,0,0.073341365,0.860084236,0.6563147,-0.855325064,1,-18504.83539
G24000504114083016,45,369283,2159.733333,16.6,1.855555556,2.488888889,0,0.234871207,0.9495825,0.705958132,-0.634464405,1,74820.69332
G24000504114091000,211,210000,1788.161137,32.13744076,2,1.938388626,0,0.176197628,0.85557943,0.6563147,-0.769617164,1,-3907.033626
G24000504114091003,46,199000,1788.521739,38.10869565,1.804347826,1.956521739,0,0.176254569,0.819452741,0.723557476,-0.765165322,1,-16471.30492
G24000504114092001,142,161450,1366.535211,36.04225352,2,1.73943662,0,0.109620251,0.831954923,0.6563147,-0.818461668,1,553.5178749
G24000504114092002,40,183250,1579.925,33.675,1.65,1.725,0,0.143315836,0.846277043,0.776604555,-0.822005988,1,-7139.037597
G24000504114092005,66,225575,1905.30303,30.43939394,1.931818182,2.121212121,0,0.194695067,0.865852783,0.679747788,-0.724732353,1,-12440.36339
G24000504114092006,37,2.00E+05,1564.081081,34.13513514,1.810810811,1.675675676,0,0.140813982,0.84349318,0.721336243,-0.834115553,1,18271.64438
G24000504114092015,257,145500,1305.599222,36.05447471,1.984435798,1.33463035,0,0.099998076,0.831880983,0.661663887,-0.917845243,1,12675.32525
G24000504114093000,243,175100,1408.720165,23.81481481,2,2.032921811,0,0.11628152,0.905932149,0.6563147,-0.746408418,1,-15354.09516
G24000504114093001,482,155000,1319.582988,33.1473029,2,1.757261411,0,0.102206201,0.849469663,0.6563147,-0.814085522,1,-4729.684607
G24000504114093002,363,160000,1388.385675,30.16528926,2,1.760330579,0,0.113070576,0.867511144,0.6563147,-0.813332014,1,-8468.674633
G24000504114093003,52,154575,1280,38,2,1.519230769,0,0.095955799,0.820110361,0.6563147,-0.872524182,1,15539.82557
G24000504114093004,115,160000,1299.973913,39.1826087,2,1.565217391,0,0.099109805,0.81295546,0.6563147,-0.861234054,1,17409.72943
G24000504114101000,443,170000,1832.485327,35.67945824,1.960496614,2.056433409,0,0.183196695,0.83414987,0.669891433,-0.740636109,1,-53015.7059
G24000504114102000,120,260200,1862.366667,36.85833333,1.916666667,2.041666667,0,0.187915146,0.827017558,0.684955141,-0.744261477,1,35030.0197
G24000504114102004,81,149000,1490.580247,26.03703704,1.987654321,2.024691358,0,0.12920774,0.892487483,0.660557728,-0.748429068,1,-47194.92671
G24000504114102005,387,160576,1500.020672,39.54780362,2,2.012919897,0,0.130698442,0.810745994,0.6563147,-0.751319067,1,-25446.29244
G24000504114103000,457,177000,1559.380744,33.17067834,1.847921225,1.919037199,0,0.14007177,0.84932824,0.708581939,-0.774368113,1,-17803.26033
G24000504114103001,45,165000,1452,28.11111111,2,1.688888889,0,0.123115677,0.879939127,0.6563147,-0.83087159,1,-6834.234017
G24000504201001004,34,104106.5,1083.147059,70.5,1.264705882,1.264705882,0,0.064871485,0.623482111,0.909024479,-0.935012328,1,3167.635864
G24000504201001010,48,116500,993.6875,73.97916667,1.104166667,1.208333333,0,0.05074526,0.602432805,0.964199448,-0.948852295,1,25515.21369
G24000504201001011,69,129000,1130.724638,69.97101449,1.369565217,1.289855072,0,0.072384283,0.626682527,0.872985867,-0.928837976,1,24517.79724
G24000504201001024,103,76500,936.8252427,67.10679612,2,1.184466019,0.102022717,0.041766353,0.644011334,0.6563147,-0.954711935,0.897977283,12877.56581
G24000504201001026,36,80750,1002.388889,76.02777778,1.111111111,1.388888889,0,0.052119264,0.590038503,0.961812744,-0.904524285,1,-19521.41525
G24000504201001027,55,110000,1014.381818,72.30909091,1.163636364,1.272727273,0,0.054013023,0.612536931,0.943760587,-0.933043005,1,13736.46893
G24000504201002000,43,104470,1323.906977,74.69767442,1.395348837,1.441860465,0,0.102888986,0.598085762,0.864124416,-0.891519287,1,-22225.93412
G24000504201002001,38,121881,1130.026316,78,1.210526316,1.105263158,0,0.072274014,0.578106362,0.9276452,-0.974156949,1,29830.19528
G24000504201002002,41,122000,938.2682927,65.24390244,1.146341463,1.365853659,0,0.04199422,0.655282027,0.94970459,-0.910179641,1,21798.57714
G24000504201002003,61,114000,1042.163934,77.90163934,1.163934426,1.229508197,0,0.058399993,0.578701453,0.943658148,-0.943653676,1,21787.37758
G24000504201002005,32,118750,1253.78125,75.71875,1.34375,1.53125,0,0.091815694,0.591908152,0.881858178,-0.869573353,1,-7069.535793
G24000504201002007,35,85000,930.4,68.8,2,1.028571429,0,0.040751767,0.633767281,0.6563147,-0.992985458,1,28829.87225
G24000504201002008,80,85700,1059.5,68.5625,2,1.1,0,0.061137466,0.63520418,0.6563147,-0.975449102,1,13419.16415
G24000504201002010,44,71850,934.2272727,66.13636364,2,1.090909091,0,0.041356117,0.649882548,0.6563147,-0.977681002,1,9825.469436
G24000504201002011,33,79900,1036.606061,64.63636364,2,1.151515152,0,0.05752237,0.658957698,0.6563147,-0.962801669,1,3898.597963
G24000504201002013,31,80800,924.9032258,65.51612903,2,1.032258065,0,0.039883792,0.653635029,0.6563147,-0.992080355,1,22482.07025
G24000504201002014,37,79900,933.6216216,67,2,1.054054054,0,0.041260481,0.644657461,0.6563147,-0.986729244,1,20654.04994
G24000504201003005,36,107500,915.7777778,59.33333333,1.013888889,1.166666667,0,0.038442827,0.691041561,0.995226593,-0.959081836,1,12850.68241
G24000504201003018,48,130000,1393.6875,69.02083333,1.21875,1.604166667,0,0.113907768,0.632431218,0.924818841,-0.851671657,1,-20990.84192
G24000504202001006,62,84927,944.3870968,70.27419355,2,1.096774194,0,0.042960417,0.624848263,0.6563147,-0.976241066,1,24717.66009
G24000504202001008,30,91750,1112.4,65.33333333,2,1.133333333,0,0.069490708,0.654740961,0.6563147,-0.967265469,1,10304.93061
G24000504202001009,32,108850,1129.5,62.375,2,1.125,0,0.072190905,0.672639174,0.6563147,-0.969311377,1,24094.23306
G24000504202001010,74,89900,993.7837838,65.04054054,2,1.094594595,0,0.050760464,0.656512387,0.6563147,-0.976776177,1,21359.57596
G24000504202001014,65,85000,945.2307692,66.93846154,2,1.061538462,0,0.043093639,0.645029775,0.6563147,-0.984891755,1,24215.50284
G24000504202001017,73,91200,965.6164384,66.19178082,2,1.178082192,0,0.046312663,0.649547268,0.6563147,-0.956279222,1,21404.34026
G24000504202001018,43,116600,982.6976744,66.60465116,2,1.139534884,0,0.049009898,0.647049361,0.6563147,-0.965742933,1,47711.69845
G24000504202001019,70,87012.5,956.8,66.57142857,2,1.314285714,0,0.044920493,0.647250361,0.6563147,-0.922840034,1,10628.32194
G24000504202001022,64,97000,953.75,66.6875,2,1.203125,0,0.044438878,0.646548118,0.6563147,-0.950130988,1,27254.982
G24000504202001023,85,90900,959.2705882,65.16470588,2,1.282352941,0,0.045310614,0.655761174,0.6563147,-0.930679817,1,15041.51571
G24000504202002006,53,122000,998.4528302,67.16981132,1.990566038,1.188679245,0,0.051497736,0.643630086,0.659557014,-0.953677551,1,49068.40659
G24000504202002039,34,250000,1396.941176,40.73529412,1.720588235,1.558823529,0,0.114421544,0.803561558,0.752344416,-0.862803804,1,92907.29626
G24000504202002043,210,265620,1916.161905,9.180952381,2.671428571,2.261904762,0,0.196409752,0.99446848,0.42555457,-0.690191046,1,21565.31982
G24000504203011001,42,88453.5,1039.095238,59.73809524,2,1.047619048,0,0.057915427,0.688592711,0.6563147,-0.988309096,1,14434.71637
G24000504203011011,52,83800,990.7692308,63.69230769,2,1.173076923,0,0.050284447,0.664669331,0.6563147,-0.957508061,1,10105.23148
G24000504203011012,40,78450,974.8,63.1,2,1,0,0.047762805,0.668252851,0.6563147,-1,1,15551.0356
G24000504203011013,49,80500,970.7755102,58.36734694,2,1,0,0.047127313,0.696885875,0.6563147,-1,1,14446.0548
G24000504203011014,62,84000,1005.032258,62.09677419,2,1.080645161,0,0.052536668,0.674322468,0.6563147,-0.980200889,1,13016.13097
G24000504203011021,32,95500,970.5,56,2,1,0,0.047083808,0.711208561,0.6563147,-1,1,27707.66522
G24000504203011023,99,85400,978.5050505,62.39393939,2,1.161616162,0,0.048347856,0.672524589,0.6563147,-0.960321781,1,12515.315
G24000504203021003,40,120000,1080.85,59,2,2,0,0.064508765,0.693058261,0.6563147,-0.754491018,1,-12150.07706
G24000504203021009,37,87900,1032.432432,61.16216216,2,1.081081081,0,0.056863328,0.679976964,0.6563147,-0.980093866,1,13668.71872
G24000504203021010,56,86210,1042.428571,61.58928571,2,1,0,0.058441781,0.677392824,0.6563147,-1,1,15949.6557
G24000504203021011,63,82750,1043.619048,61.17460317,2,1.126984127,0,0.058629764,0.679901695,0.6563147,-0.968824256,1,4906.753018
G24000504203021013,34,97250,1027.470588,61.58823529,2,1,0,0.056079821,0.677399179,0.6563147,-1,1,28368.10239
G24000504203021014,49,92000,1044.081633,61.93877551,2,1.020408163,0,0.05870281,0.675278376,0.6563147,-0.994989613,1,20696.23471
G24000504203022000,74,94000,1070.837838,60.95945946,2,1.22972973,0,0.062927782,0.681203336,0.6563147,-0.943599288,1,7690.012378
G24000504203022001,47,102000,1061.446809,65,2,1.085106383,0,0.06144488,0.656757661,0.6563147,-0.979105619,1,27725.67784
G24000504203022005,43,98000,1103.44186,61.30232558,2,1.139534884,0,0.068076162,0.679128961,0.6563147,-0.965742933,1,14027.7495
G24000504203022013,54,80412.5,1040,65.68518519,2,1.037037037,0,0.058058294,0.652612222,0.6563147,-0.990907075,1,11338.1891
G24000504203022014,39,95000,1053.538462,65.1025641,2,1.102564103,0,0.060196102,0.656137138,0.6563147,-0.974819592,1,20546.37025
G24000504203022015,78,90000,1055.384615,61.74358974,2,1.076923077,0,0.060487621,0.676459269,0.6563147,-0.981114694,1,14320.14774
G24000504203022019,32,74045,1031.3125,62,2,1.15625,0,0.056686483,0.674907961,0.6563147,-0.961639222,1,-3699.653845
G24000504203031001,32,159950,1283.65625,64.6875,1.1875,1.46875,0,0.096533144,0.658648318,0.935559006,-0.884917665,1,22724.44122
G24000504204011001,34,77000,1096,67,2,1.088235294,0,0.066901045,0.644657461,0.6563147,-0.978337443,1,853.2099953
G24000504204011002,39,76300,1028.410256,67,2,1.179487179,0,0.056228201,0.644657461,0.6563147,-0.955934285,1,1237.214616
G24000504204011003,101,76000,982.1782178,67,2,1.059405941,0,0.048927872,0.644657461,0.6563147,-0.985415308,1,11974.85457
G24000504204011006,45,67900,930.1333333,67,2,1.022222222,0,0.040709659,0.644657461,0.6563147,-0.994544245,1,10771.57812
G24000504204011007,33,77000,1024,67,2,1.242424242,0,0.055531794,0.644657461,0.6563147,-0.940482671,1,-1206.903869
G24000504204011012,36,80750,1063.111111,66.80555556,2,1,0,0.061707683,0.64583387,0.6563147,-1,1,12468.96833
G24000504204011013,47,58000,1028.085106,65.06382979,2,1,0,0.056176858,0.656371485,0.6563147,-1,1,-8349.066268
G24000504204011014,46,71000,1024,65,2,1,0,0.055531794,0.656757661,0.6563147,-1,1,4980.052313
G24000504204011015,86,60000,1027.72093,65.87209302,2,1.069767442,0,0.056119352,0.651481411,0.6563147,-0.982871466,1,-9649.419563
G24000504204011016,48,64950,1024,65.45833333,2,1.041666667,0,0.055531794,0.653984699,0.6563147,-0.989770459,1,-3079.210386
G24000504204011017,32,75375,1108,66.9375,2,1.09375,0,0.06879592,0.645035593,0.6563147,-0.976983533,1,-2235.966434
G24000504204011020,35,74000,1064.228571,66.08571429,2,1.2,0,0.061884137,0.650188981,0.6563147,-0.950898204,1,-6203.960009
G24000504204011021,30,82950,1024,66.13333333,2,1.033333333,0,0.055531794,0.649900881,0.6563147,-0.991816367,1,15893.8477
G24000504204011024,32,75000,1072,66.125,2,1.0625,0,0.063111295,0.649951299,0.6563147,-0.984655689,1,1866.18659
G24000504204011025,57,70000,972.3508772,65.38596491,2,1.421052632,0,0.047376074,0.654422535,0.6563147,-0.896627797,1,-14724.86811
G24000504204012000,50,89950,1056,62.98,2,1.2,0,0.060584794,0.668978863,0.6563147,-0.950898204,1,8190.856437
G24000504204012006,161,96500,1327.975155,43.01863354,1.99689441,1.565217391,0,0.103531377,0.789747126,0.657382045,-0.861234054,1,-45892.82596
G24000504204012007,70,72750,1053.257143,62.38571429,2.057142857,1.171428571,0,0.06015168,0.672574351,0.63667554,-0.957912746,1,-6139.344299
G24000504204012011,56,83450,1024,65,2,1.196428571,0,0.055531794,0.656757661,0.6563147,-0.951775021,1,6347.972152
G24000504204012016,45,80000,1110.4,58.53333333,2,1,0,0.069174896,0.695881641,0.6563147,-1,1,1195.381249
G24000504204013001,60,76500,1068.8,62.8,2,1.15,0,0.062605995,0.670067881,0.6563147,-0.963173653,1,-3752.607923
G24000504204013002,39,75000,1043.692308,67,2,1.076923077,0,0.058641333,0.644657461,0.6563147,-0.981114694,1,4314.551441
G24000504204013003,32,62750,932,67,2,1.0625,0,0.041004417,0.644657461,0.6563147,-0.984655689,1,3177.072434
G24000504204013006,37,85000,1013.621622,68,2,1.054054054,0,0.053892983,0.638607361,0.6563147,-0.986729244,1,19122.54839
G24000504204013018,39,80900,1109.333333,66.94871795,2,1.205128205,0,0.069006462,0.644967723,0.6563147,-0.949639183,1,-3109.271308
G24000504204013019,43,84500,1102.604651,67.04651163,2,1.069767442,0,0.067943961,0.644376061,0.6563147,-0.982871466,1,8820.785837
G24000504204014001,34,81800,1106.823529,68,2,1,0,0.068610148,0.638607361,0.6563147,-1,1,10378.30328
G24000504204014006,43,89900,1152,60.51162791,2,1.348837209,0,0.075743796,0.683912761,0.6563147,-0.914357332,1,-10947.1459
G24000504204014013,37,98000,1150.054054,57.43243243,2,1.135135135,0,0.075436519,0.702542202,0.6563147,-0.966823111,1,7094.741226
G24000504204014021,34,94950,1179.529412,64.61764706,2,1.088235294,0,0.080090863,0.659070935,0.6563147,-0.978337443,1,9326.247839
G24000504204021001,55,185000,1394.709091,54.12727273,1.490909091,1.490909091,0,0.114069083,0.722538748,0.831281762,-0.879477409,1,36103.44463
G24000504204021003,44,119200,1162.272727,61.86363636,1.534090909,1.522727273,0,0.077365924,0.675732975,0.816440806,-0.871665759,1,-3201.43069
G24000504204021004,36,130000,1123.805556,77.13888889,1.388888889,1.222222222,0,0.071291717,0.58331617,0.866344605,-0.945442448,1,35801.48332
G24000504204021010,58,149950,1529.293103,49.74137931,1.560344828,1.706896552,0,0.135320743,0.749073842,0.80741772,-0.826450547,1,-25050.22939
G24000504204021012,46,81025,973.9130435,66.08695652,2,1.152173913,0,0.047622749,0.650181466,0.6563147,-0.962639938,1,11847.92628
G24000504204021014,63,74200,922.4126984,66.65079365,2,1.285714286,0,0.039490522,0.646770195,0.6563147,-0.929854577,1,2657.638475
G24000504204021015,61,72000,920.6557377,65.78688525,2,1.032786885,0,0.039213087,0.651996927,0.6563147,-0.991950525,1,14245.61014
G24000504204021016,63,74000,920.3809524,66,2,1.063492063,0,0.039169697,0.650707561,0.6563147,-0.984412128,1,14697.40802
G24000504204022001,31,120000,1433.129032,79.58064516,1.612903226,1.741935484,0,0.120135833,0.5685433,0.789354171,-0.817848175,1,-24546.71851
