STATEFP,COUNTYFP,TRACTCE,BLOCKCE,GEOID,NAME,MTFCC,UR,UACE,UATYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_area,Shape_len
24,510,270805,1008,245102708051008,Block 1008,G5040,U,04843,U,S,5236,0,+39.3631610,-076.6014327,G24051002708051008,5236.33420483,323.568011082
24,510,271200,5009,245102712005009,Block 5009,G5040,U,04843,U,S,9019,0,+39.3639341,-076.6192054,G24051002712005009,9019.1294507,418.785835994
24,510,271200,4026,245102712004026,Block 4026,G5040,U,04843,U,S,6950,0,+39.3566326,-076.6238252,G24051002712004026,6949.70892754,337.5435656
24,510,271501,1039,245102715011039,Block 1039,G5040,U,04843,U,S,10260,0,+39.3621738,-076.6501773,G24051002715011039,10260.2929167,1452.43708053
24,510,271501,1019,245102715011019,Block 1019,G5040,U,04843,U,S,30763,0,+39.3696570,-076.6582323,G24051002715011019,30762.7802035,733.374268436
24,510,271300,1031,245102713001031,Block 1031,G5040,U,04843,U,S,798,0,+39.3641981,-076.6313327,G24051002713001031,798.222533217,104.235112869
24,510,271501,1012,245102715011012,Block 1012,G5040,U,04843,U,S,746,0,+39.3714024,-076.6550381,G24051002715011012,745.872599941,110.535291528
24,510,271101,3012,245102711013012,Block 3012,G5040,U,04843,U,S,2438,0,+39.3478262,-076.6116880,G24051002711013012,2438.18469766,204.810265804
24,510,271101,3004,245102711013004,Block 3004,G5040,U,04843,U,S,4944,0,+39.3493295,-076.6146021,G24051002711013004,4943.50303458,289.643283735
24,510,270901,3010,245102709013010,Block 3010,G5040,U,04843,U,S,62073,0,+39.3467897,-076.5984126,G24051002709013010,62072.8998987,1411.64568929
24,510,270805,2007,245102708052007,Block 2007,G5040,U,04843,U,S,8391,0,+39.3571706,-076.5988950,G24051002708052007,8390.51494209,474.835121118
24,510,271200,2013,245102712002013,Block 2013,G5040,U,04843,U,S,1235,0,+39.3645169,-076.6163223,G24051002712002013,1235.30403415,302.681730736
24,510,271200,4018,245102712004018,Block 4018,G5040,U,04843,U,S,11756,0,+39.3561970,-076.6267612,G24051002712004018,11755.1425351,433.359263899
24,510,270101,2001,245102701012001,Block 2001,G5040,U,04843,U,S,8374,0,+39.3328153,-076.5673707,G24051002701012001,8373.5552342,430.65989248
24,510,270101,2002,245102701012002,Block 2002,G5040,U,04843,U,S,20688,0,+39.3342994,-076.5659051,G24051002701012002,20687.8166866,806.152154057
24,510,270101,2043,245102701012043,Block 2043,G5040,U,04843,U,S,6211,0,+39.3324882,-076.5648365,G24051002701012043,6210.50221167,326.797307723
24,510,260203,1012,245102602031012,Block 1012,G5040,U,04843,U,S,4924,0,+39.3216024,-076.5495901,G24051002602031012,4924.34808984,406.057880324
24,510,080200,1027,245100802001027,Block 1027,G5040,U,04843,U,S,9709,0,+39.3101327,-076.5773105,G24051000802001027,9709.17659725,423.329242935
24,510,080101,1065,245100801011065,Block 1065,G5040,U,04843,U,S,222125,0,+39.3169318,-076.5853003,G24051000801011065,222125.283435,2028.5166685
24,510,080200,1035,245100802001035,Block 1035,G5040,U,04843,U,S,1319,0,+39.3129739,-076.5808604,G24051000802001035,1319.20070676,144.793184687
24,510,080101,1057,245100801011057,Block 1057,G5040,U,04843,U,S,2023,0,+39.3166467,-076.5809226,G24051000801011057,2023.37102902,331.019381069
24,510,080101,1043,245100801011043,Block 1043,G5040,U,04843,U,S,1855,0,+39.3170164,-076.5806299,G24051000801011043,1855.48872861,339.311517175
24,510,060400,2004,245100604002004,Block 2004,G5040,U,04843,U,S,4583,0,+39.2969769,-076.5892648,G24051000604002004,4582.81527706,308.550904948
