         433883964 function calls (412775937 primitive calls) in 186.791 seconds

   Ordered by: cumulative time
   List reduced from 1768 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16889    0.013    0.000   18.281    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/geodataframe.py:1543(copy)
    16905    0.030    0.000   18.268    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/generic.py:6681(copy)
   599332    0.711    0.000   17.120    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:4631(_get_item_cache)
   323940    0.396    0.000   15.912    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:3988(_ixs)
   239699    0.657    0.000   15.822    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:4276(__setitem__)
   239699    0.320    0.000   14.576    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:4519(_set_item)
    74337    0.229    0.000   14.461    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/geodataframe.py:248(set_geometry)
   323940    0.386    0.000   13.636    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:4613(_box_col_values)
   323940    0.346    0.000   12.240    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:678(_constructor_sliced_from_mgr)
91994906/90772212    7.130    0.000   12.165    0.000 {built-in method builtins.isinstance}
        3    0.087    0.029   10.765    3.588 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/new_agent_location.py:74(run)
        1    0.022    0.022   10.430   10.430 /Users/d3y010/repos/github/icom_abm/chance_c/model_classes/simulator.py:82(set_landscape)
   239699    0.425    0.000   10.131    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:4486(_set_item_mgr)
  1338359    3.298    0.000    9.610    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/construction.py:517(sanitize_array)
      300    0.000    0.000    8.984    0.030 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/base.py:2125(distance)


