         14418388 function calls (14086165 primitive calls) in 14.805 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28964    0.005    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexes/base.py:912(__len__)
       52    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/types.py:36(_get_ll_global_value_type)
        4    0.000    0.000    0.006    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/io/parsers/readers.py:583(_read)
     2541    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/random.py:358(randint)
    45605    0.006    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/internals/managers.py:2004(internal_values)
     4030    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:100(acquire)
       13    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/codegen.py:781(_verify_declare_only_symbols)
     1894    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
     8146    0.003    0.000    0.006    0.000 {built-in method builtins.max}
     2128    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      970    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/builder.py:769(store)
       42    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/typing.py:2872(_make_nmtuple)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/environment.py:1(<module>)
       80    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/threading.py:295(wait)
     3742    0.002    0.000    0.006    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexes/range.py:1(<module>)
        3    0.000    0.000    0.006    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/annotations/type_annotations.py:271(__str__)
     4392    0.003    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/series.py:978(__array__)
      521    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:1484(_alloca_var)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/_utils/construction/__init__.py:1(<module>)
      274    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/values.py:973(descr_prototype)
        3    0.000    0.000    0.006    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/annotations/type_annotations.py:111(annotate)
      562    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/builder.py:922(gep)
     3262    0.005    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1778(np_can_hold_element)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/mathtext.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexes/range.py:66(RangeIndex)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/multiprocessing/util.py:447(spawnv_passfds)
       13    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/callconv.py:520(unpack_exception)
      125    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/templates.py:488(apply)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axis3d.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_resampling.py:1(<module>)
        1    0.006    0.006    0.006    0.006 {built-in method _posixsubprocess.fork_exec}
       26    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/binding/transforms.py:87(_populate_module_pm)
      127    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/templates.py:279(_select)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/io/cloud/__init__.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/shapely/speedups/__init__.py:1(<module>)
     8721    0.004    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/dtypes/common.py:574(condition)
     1652    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/base.py:103(_match_arglist)
     6620    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/_core/_methods.py:58(_any)
    29688    0.005    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/_lib/_docscrape.py:64(eof)
     4409    0.003    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/artist.py:1549(aliased_name)
        5    0.000    0.000    0.006    0.001 /Users/d3y010/repos/github/icom_abm/chance_c/field_mapper.py:99(map_dataframe)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyparsing/common.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/f2py/capi_maps.py:1(<module>)
      195    0.002    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/numpy_support.py:380(ufunc_find_matching_loop)
      360    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/typeof.py:27(typeof)
     1185    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/values.py:1104(__init__)
      127    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/context.py:615(resolve_overload)
      280    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/series/utils.py:96(call_expr)
    15812    0.004    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/construction.py:416(extract_array)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/point.py:1(<module>)
      168    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/typing.py:715(Literal)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/sparse/linalg/_matfuncs.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/io/parquet/functions.py:1(<module>)
     4030    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:125(release)
      850    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexing.py:1719(_getitem_axis)
      319    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/extending.py:157(wrap)
       48    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/binding/module.py:167(link_in)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopy/geocoders/azure.py:1(<module>)
    12369    0.002    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/internals/base.py:84(<genexpr>)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyparsing/common.py:8(pyparsing_common)
       24    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/attr/_make.py:778(build_class)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/html/__init__.py:1(<module>)
     9118    0.005    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/_config/config.py:635(_get_root)
     9266    0.004    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2747(get_block_type)
     9748    0.006    0.000    0.006    0.000 {method 'splitlines' of 'str' objects}
       98    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:1603(alloca)
     2373    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/binding/ffi.py:334(close)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_distribution_infrastructure.py:1(<module>)
    26413    0.006    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/flags.py:51(__init__)
       10    0.000    0.000    0.006    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:30(__init__)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/datatypes/_parse.py:1(<module>)
      319    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/extending.py:140(register_jitable)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/arrays/interval.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/internals/array_manager.py:1(<module>)
      644    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/binding/module.py:240(_next)
        1    0.000    0.000    0.006    0.006 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pynsim/simulators/__init__.py:1(<module>)
      158    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/_utils/construction/dataframe.py:1087(<genexpr>)
       19    0.000    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/rcsetup.py:814(validate_cycler)
     5307    0.003    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/_utils/wrap.py:12(wrap_df)
     2549    0.001    0.000    0.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/types/abstract.py:49(_intern)
       50    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:757(__init__)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/sparse/linalg/_dsolve/linsolve.py:1(<module>)
       10    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:1024(build_constraint)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/cpython/hashing.py:1(<module>)
      289    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/series.py:6429(_reduce)
        5    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:595(lower_setitem)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/fiona/env.py:1(<module>)
      297    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/base.py:500(get_constant_generic)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/computation/expr.py:1(<module>)
       13    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/_fontconfig_pattern.py:77(parse_fontconfig_pattern)
      346    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:1387(constrain_statement)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/_core/printoptions.py:1(<module>)
       10    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/caching.py:105(ensure_cache_path)
     3541    0.003    0.000    0.005    0.000 <frozen os>:674(__getitem__)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/binding/ffi.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/api/types/__init__.py:1(<module>)
       98    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/analysis.py:60(compute_live_map)
      362    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/functools.py:904(wrapper)
      319    0.001    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/analysis.py:235(compute_cfg_from_blocks)
     6016    0.004    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/construction.py:766(_try_cast)
       40    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/callwrapper.py:38(cleanup_arg)
     7046    0.004    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/_lib/_docscrape.py:57(seek_next_non_empty_line)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pyproj/crs/crs.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/_lib/array_api_compat/__init__.py:1(<module>)
     5553    0.002    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:101(isna)
        9    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typed_passes.py:883(run_pass)
     2762    0.002    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/functions/col.py:31(_create_col)
     2541    0.002    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/random.py:284(randrange)
    23051    0.004    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/dtypes/common.py:125(<lambda>)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/ctypes/util.py:1(<module>)
     3154    0.001    0.000    0.005    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/io/sas/__init__.py:1(<module>)
      562    0.001    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/instructions.py:551(__init__)
    21333    0.005    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/flags.py:87(allows_duplicate_labels)
     3418    0.004    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexes/base.py:650(_simple_new)
     9926    0.004    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/numbers.py:283(__float__)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/io/iceberg/__init__.py:1(<module>)
      131    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_distn_infrastructure.py:683(__init__)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/catalog/unity/__init__.py:1(<module>)
     2245    0.001    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/binding/ffi.py:377(__del__)
      274    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/values.py:943(<listcomp>)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/compat/_constants.py:1(<module>)
    11120    0.004    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/event.py:270(on_end)
    69117    0.005    0.000    0.005    0.000 {built-in method math.gcd}
       10    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/untyped_passes.py:118(run_pass)
15712/15139    0.004    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/types/abstract.py:124(__eq__)
        9    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/ssa.py:26(reconstruct_ssa)
      224    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/generic.py:12381(_stat_function)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/meta/__init__.py:1(<module>)
      294    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typeinfer.py:1456(typeof_assign)
     2253    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/experimental/jitclass/boxing.py:1(<module>)
        9    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/ssa.py:47(_run_ssa)
      196    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/analysis.py:71(fix_point)
       84    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/postproc.py:46(livemap)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/compat/numpy/__init__.py:1(<module>)
     5299    0.003    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/lazyframe/opt_flags.py:144(__copy__)
       98    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:1608(alloca_lltype)
      391    0.001    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/builder.py:875(call)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/cpython/old_hashing.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:1(<module>)
      112    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/cgutils.py:124(_make_refs)
       62    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/arrayobj.py:98(shape)
       35    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/attr/_make.py:212(_compile_and_eval)
      929    0.001    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/builder.py:756(load)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/indexers/objects.py:1(<module>)
        3    0.000    0.000    0.005    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/caching.py:508(save)
        3    0.000    0.000    0.005    0.002 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/annotations/type_annotations.py:17(__init__)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/generic.py:244(NDFrame)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/np/arraymath.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
      270    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/util/_decorators.py:387(<listcomp>)
        3    0.000    0.000    0.005    0.002 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/inspect.py:1235(getsourcelines)
     1980    0.001    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/llvmlite/ir/types.py:84(__call__)
       13    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/codegen.py:1040(scan_defined_symbols)
        4    0.000    0.000    0.005    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/certifi/core.py:21(where)
      202    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/cgutils.py:149(__getattr__)
       10    0.000    0.000    0.005    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/tempfile.py:590(TemporaryFile)
    12918    0.005    0.000    0.005    0.000 {lit}
        1    0.000    0.000    0.005    0.005 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/spatial/_spherical_voronoi.py:1(<module>)
