         14418388 function calls (14086165 primitive calls) in 14.805 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      9/3    0.000    0.000    1.035    0.345 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:433(compile_extra)
      9/3    0.000    0.000    1.033    0.344 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:500(_compile_bytecode)
     10/3    0.000    0.000    1.033    0.344 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler.py:456(_compile_core)
     10/3    0.000    0.000    1.032    0.344 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
   255/85    0.003    0.000    1.031    0.012 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler_machinery.py:267(_runPass)
     4429    0.006    0.000    1.026    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/series.py:6121(_cmp_method)
  765/255    0.000    0.000    1.026    0.004 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/compiler_machinery.py:271(check)
        1    0.000    0.000    1.022    1.022 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/contextily/__init__.py:1(<module>)
     4157    0.002    0.000    1.006    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/arraylike.py:38(__eq__)
        2    0.034    0.017    0.998    0.499 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/new_agent_location.py:78(run)
        1    0.000    0.000    0.957    0.957 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/contextily/place.py:1(<module>)
        1    0.000    0.000    0.899    0.899 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/api.py:1(<module>)
  232/155    0.000    0.000    0.876    0.006 <frozen importlib._bootstrap_external>:1239(exec_module)
  232/155    0.034    0.000    0.875    0.006 {built-in method _imp.exec_dynamic}
     4429    0.009    0.000    0.847    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:288(comparison_op)
     10/7    0.000    0.000    0.830    0.119 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typed_passes.py:437(run_pass)
     4456    0.812    0.000    0.819    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:113(comp_method_OBJECT_ARRAY)
        1    0.000    0.000    0.810    0.810 /Users/d3y010/repos/github/icom_abm/chance_c/model_classes/__init__.py:1(<module>)
        1    0.000    0.000    0.798    0.798 /Users/d3y010/repos/github/icom_abm/chance_c/model_classes/simulator.py:1(<module>)
        1    0.000    0.000    0.780    0.780 /Users/d3y010/repos/github/icom_abm/chance_c/numba_utils.py:1(<module>)
        1    0.000    0.000    0.771    0.771 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/__init__.py:1(<module>)
  161/157    0.000    0.000    0.661    0.004 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/importlib/__init__.py:108(import_module)
  161/157    0.000    0.000    0.661    0.004 <frozen importlib._bootstrap>:1192(_gcd_import)
     10/7    0.000    0.000    0.654    0.093 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:188(lower)
        1    0.000    0.000    0.624    0.624 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/pyplot.py:1(<module>)
     10/7    0.000    0.000    0.619    0.088 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:224(lower_normal_function)
     10/7    0.000    0.000    0.616    0.088 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:241(lower_function_body)
    41/35    0.001    0.000    0.615    0.018 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/lowering.py:266(lower_block)
        1    0.000    0.000    0.615    0.615 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/contextily/tile.py:1(<module>)
145365/143563    0.019    0.000    0.599    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.571    0.571 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/optimize/__init__.py:1(<module>)
        1    0.000    0.000    0.522    0.522 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/distributions.py:1(<module>)
14678/14618    0.024    0.000    0.511    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:4067(__getitem__)
   132/28    0.000    0.000    0.490    0.017 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/parfors/parfor_lowering.py:50(lower_inst)
     2541    0.006    0.000    0.483    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/dataframe/frame.py:10844(sample)
        1    0.000    0.000    0.482    0.482 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/parfors/parfor_lowering.py:66(_lower_parfor_parallel)
        1    0.000    0.000    0.482    0.482 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/parfors/parfor_lowering.py:73(_lower_parfor_parallel_std)
    31/30    0.000    0.000    0.476    0.016 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/__init__.py:129(__getattr__)
5372/5265    0.086    0.000    0.449    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.445    0.445 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/__init__.py:1(<module>)
     2541    0.434    0.000    0.434    0.000 {method 'sample_n' of 'builtins.PyDataFrame' objects}
        1    0.000    0.000    0.410    0.410 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.404    0.404 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/spatial/__init__.py:1(<module>)
        1    0.000    0.000    0.403    0.403 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/geopandas/io/file.py:174(_read_file)
        1    0.000    0.000    0.395    0.395 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/decorators.py:1(<module>)
        1    0.000    0.000    0.388    0.388 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/stencils/stencil.py:1(<module>)
        1    0.000    0.000    0.367    0.367 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/rasterio/__init__.py:1(<module>)
        1    0.000    0.000    0.354    0.354 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/parfors/parfor_lowering.py:1666(call_parallel_gufunc)
        1    0.000    0.000    0.353    0.353 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/arrays/__init__.py:1(<module>)
13122/13118    0.054    0.000    0.351    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/series.py:389(__init__)
        1    0.000    0.000    0.332    0.332 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/rcsetup.py:1(<module>)
        1    0.000    0.000    0.319    0.319 /Users/d3y010/repos/github/icom_abm/chance_c/model_engines/existing_agent_relocation.py:1(<module>)
        1    0.000    0.000    0.315    0.315 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/groupby/__init__.py:1(<module>)
  267/210    0.004    0.000    0.314    0.001 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/types/functions.py:281(get_call_type)
        1    0.000    0.000    0.313    0.313 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/__init__.py:1(<module>)
